index,GenomeName,RefSeqID,Proteins,Reference,Size (Kb),realm (Reference),realm (prediction),phylum (Reference),phylum (prediction),class (Reference),class (prediction),order (Reference),order (prediction),family (Reference),family (prediction),subfamily (Reference),subfamily (prediction),genus (Reference),genus (prediction),network
2649,Sulfolobus islandicus rudivirus 3,NC_030884.1,45,True,32.995,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Rudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2901,Sulfolobus islandicus rod-shaped virus 7,NC_034619.1,52,True,34.19,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2902,Sulfolobus islandicus rod-shaped virus 9,NC_034620.1,58,True,36.391,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2903,Sulfolobus islandicus rod-shaped virus 5,NC_034621.1,57,True,36.306,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2904,Sulfolobus islandicus rod-shaped virus 8,NC_034623.1,61,True,36.493,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2905,Sulfolobus islandicus rod-shaped virus 11,NC_034624.1,50,True,33.356,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2906,Sulfolobus islandicus rod-shaped virus 10,NC_034625.1,49,True,32.735,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2907,Sulfolobus islandicus rod-shaped phage 6,NC_034627.1,56,True,35.439,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2908,Sulfolobus islandicus rod-shaped virus 4,NC_034628.1,54,True,35.035,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
1429,Sulfolobales Mexican rudivirus 1,NC_019413.1,37,True,27.431,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Rudivirus,Rudivirus,Lower clustered then no edges
843,Captovirus AFV1,NC_005830.1,40,True,20.869,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Ungulaviridae,Ungulaviridae,nan,noRef_of_Ungulaviridae,Captovirus,Captovirus,Lower clustered then no edges
406,Pyrobaculum filamentous virus 2,MN876844.1,39,True,17.602,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Primavirales,Primavirales,Tristromaviridae,Tristromaviridae,nan,noRef_of_Tristromaviridae,Alphatristromavirus,Alphatristromavirus,Fully clustered
2642,Pyrobaculum filamentous virus 1,NC_029548.1,39,True,17.714,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Primavirales,Primavirales,Tristromaviridae,Tristromaviridae,nan,noRef_of_Tristromaviridae,Alphatristromavirus,Alphatristromavirus,Fully clustered
2911,Thermoproteus tenax virus 1,NC_038931.1,37,True,13.669,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Primavirales,Primavirales,Tristromaviridae,Tristromaviridae,nan,noRef_of_Tristromaviridae,Betatristromavirus,Betatristromavirus,Lower clustered then no edges
909,Bicaudavirus pozzuoliense,NC_007409.1,72,True,62.73,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,Bicaudavirus,Bicaudavirus,Fully clustered
861,Sulfolobus virus STSV1,NC_006268.1,74,True,75.294,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
1557,Sulfolobus virus STSV2,NC_020077.1,75,True,76.107,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
1907,Sulfolobus monocaudavirus SMV1,NC_023585.1,51,True,48.775,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
2571,Sulfolobus monocaudavirus SMV4,NC_029011.1,68,True,51.711,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
2580,Sulfolobus monocaudavirus SMV2,NC_029020.1,65,True,50.918,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
2631,Sulfolobus monocaudavirus SMV3,NC_029103.1,87,True,64.323,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
2641,Acidianus tailed spindle virus,NC_029316.1,95,True,70.812,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
667,Sulfolobus spindle-shaped virus 1,NC_001338.1,31,True,15.465,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
828,Sulfolobus spindle-shaped virus 2,NC_005265.1,34,True,14.796,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
840,Sulfolobus virus Ragged Hills,NC_005360.1,37,True,16.473,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
841,Sulfolobus virus Kamchatka 1,NC_005361.1,31,True,17.385,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
1047,Sulfolobus spindle-shaped virus 4,NC_009986.1,34,True,15.135,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
1109,Sulfolobus spindle-shaped virus 5,NC_011217.1,34,True,15.33,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
1185,Betafusellovirus yellowstonense,NC_013585.1,38,True,24.186,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Betafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
1186,Sulfolobus spindle-shaped virus 6,NC_013587.1,33,True,15.684,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Betafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
1187,Sulfolobus spindle-shaped virus 7,NC_013588.1,33,True,17.602,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
1629,Sulfolobales Mexican fusellovirus 1,NC_020882.1,24,True,14.847,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,nan,nan,Lower clustered then no edges
2554,Sulfolobales Virus YNP2,NC_028992.1,60,True,34.783,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,nan,nan,nan,noRef_of_nan,nan,nan,Fully clustered
2587,Sulfolobales virus YNP1,NC_029027.1,71,True,40.86,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,nan,nan,nan,noRef_of_nan,nan,nan,Fully clustered
5098,uncultured phage cr25_1,NC_062777.1,89,True,94.533,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Crevaviridae,Crevaviridae,Coarsevirinae,Coarsevirinae,Junduvirus,Junduvirus,Fully clustered
5100,uncultured phage cr2_1,NC_062779.1,88,True,95.815,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Crevaviridae,Crevaviridae,Coarsevirinae,Coarsevirinae,Junduvirus,Junduvirus,Fully clustered
5101,uncultured phage cr13_1,NC_062780.1,84,True,92.132,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Crevaviridae,Crevaviridae,Doltivirinae,Doltivirinae,Kingevirus,Kingevirus,Fully clustered
4966,Bacteroides phage crAss002,NC_055828.1,81,True,93.03,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Churivirinae,Churivirinae|Crudevirinae,Jahgtovirus,Jahgtovirus,Fully clustered
5090,uncultured phage cr36_1,NC_062769.1,82,True,96.466,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Churivirinae,Churivirinae|Crudevirinae,Jahgtovirus,Jahgtovirus,Fully clustered
5095,uncultured phage cr54_1,NC_062774.1,82,True,97.536,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Churivirinae,Churivirinae|Crudevirinae,Jahgtovirus,Jahgtovirus,Fully clustered
5285,Caudoviricetes sp. 'Rudgehvirus jaberico',OQ198719.1,84,True,90.575,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Churivirinae|Crudevirinae,nan,nan,Fully clustered
5092,uncultured phage cr99_1,NC_062771.1,94,True,98.001,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Carjivirus,Carjivirus,Fully clustered
5102,Carjivirus communis,NC_067194.1,88,True,97.065,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Carjivirus,Carjivirus,Fully clustered
5097,uncultured phage cr9_1,NC_062776.1,89,True,92.361,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Dabirmavirus,Dabirmavirus,Fully clustered
5087,uncultured phage cr123_1,NC_062766.1,86,True,92.241,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Delmidovirus,Delmidovirus,Fully clustered
5085,uncultured phage cr49_1,NC_062764.1,91,True,92.367,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Diorhovirus,Diorhovirus,Fully clustered
5091,uncultured phage cr91_1,NC_062770.1,90,True,93.391,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Drivevirus,Drivevirus,Fully clustered
5099,uncultured phage cr17_1,NC_062778.1,86,True,91.714,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Endlipuvirus,Endlipuvirus,Fully clustered
1740,Cellulophaga phage phi14:2,NC_021806.1,111,True,100.418,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Akihdevirus,Akihdevirus,Fully clustered
5094,uncultured phage cr44_1,NC_062773.1,93,True,93.564,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Kahnovirus,Kahnovirus,Fully clustered
4276,Bacteroides phage crAss001,NC_049977.1,104,True,102.679,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Kehishuvirus,Kehishuvirus,Fully clustered
5089,uncultured phage cr151_1,NC_062768.1,111,True,100.314,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Kolpuevirus,Kolpuevirus,Fully clustered
5096,uncultured phage cr18_1,NC_062775.1,100,True,104.564,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Lebriduvirus,Lebriduvirus,Fully clustered
4970,Bacteroides phage DAC15,NC_055832.1,120,True,99.494,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Wulfhauvirus,Wulfhauvirus,Fully clustered
5093,uncultured phage cr77_1,NC_062772.1,99,True,99.704,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Suoliviridae,Suoliviridae,Boorivirinae,Boorivirinae,Canhaevirus,Canhaevirus,Fully clustered
5086,uncultured phage cr30_1,NC_062765.1,99,True,99.984,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Suoliviridae,Suoliviridae,Boorivirinae,Boorivirinae,Cohcovirus,Cohcovirus,Fully clustered
5088,uncultured phage cr149_1,NC_062767.1,100,True,100.971,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Suoliviridae,Suoliviridae,Boorivirinae,Boorivirinae,Culoivirus,Culoivirus,Fully clustered
4849,Azobacteroides phage ProJPt-Bp1,NC_055706.1,52,True,99.517,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Suoliviridae,Suoliviridae,nan,nan,Dechshavirus,Dechshavirus,Lower clustered then no edges
5059,Methanobacterium virus Drs3,NC_062738.1,39,True,37.129,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Methanobavirales,Methanobavirales,Anaerodiviridae,Anaerodiviridae,nan,nan,Metforvirus,Metforvirus,Lower clustered then no edges
695,Methanobacterium phage psiM2,NC_001902.1,32,True,26.111,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Methanobavirales,Methanobavirales,Leisingerviridae,Leisingerviridae,nan,nan,Psimunavirus,Psimunavirus,Fully clustered
717,Methanothermobacter phage psiM100,NC_002628.3,37,True,31.007,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Methanobavirales,Methanobavirales,Leisingerviridae,Leisingerviridae,nan,nan,Psimunavirus,Psimunavirus,Fully clustered
5077,Haloarcula tailed virus 2,NC_062756.1,127,True,63.301,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Thumleimavirales,Thumleimavirales,Soleiviridae,Soleiviridae,nan,nan,Eilatmyovirus,Eilatmyovirus,Lower clustered then no edges
1670,Haloarcula californiae tailed virus 1,NC_021330.1,160,True,103.257,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Thumleimavirales,Thumleimavirales|nan,Druskaviridae,Druskaviridae,nan,nan,Hacavirus,Hacavirus,Fully clustered
