L1	ID	Function	EC	Count
head and packaging	phrog_6672	terminase large subunit		10
unknown function	phrog_6731	hypothetical		4
unknown function	phrog_6791	hypothetical		28
unknown function	phrog_6837	hypothetical		16
other	phrog_6880	translation elongation factor		48
unknown function	phrog_6907	hypothetical		8
other	phrog_729	cold shock protein		13
unknown function	phrog_7298	hypothetical		1
unknown function	phrog_7301	hypothetical		1
unknown function	phrog_731	hypothetical		18
other	phrog_7320	tetrahydrofolate dehydrogenase and cyclohydrolase		15
unknown function	phrog_7602	hypothetical		16
integration and excision	phrog_7685	integrase		5
DNA, RNA and nucleotide metabolism	phrog_7778	single strand DNA binding protein		21
DNA, RNA and nucleotide metabolism	phrog_7909	ribonucleoside-diphosphate reductase beta subunit		5
other	phrog_7930	lipoprotein precursor		2
unknown function	phrog_7964	hypothetical		2
transcription regulation	phrog_8	transcriptional regulator		2
head and packaging	phrog_80	head maturation protease		2
DNA, RNA and nucleotide metabolism	phrog_8097	exonuclease		39
moron, auxiliary metabolic gene and host takeover	phrog_841	GtrB-like O-antigen conversion		2
moron, auxiliary metabolic gene and host takeover	phrog_8429	NifU-like Fe-S cluster assembly protein		3
unknown function	phrog_8439	hypothetical		40
unknown function	phrog_8572	hypothetical		2
DNA, RNA and nucleotide metabolism	phrog_864	DNA primase		12
unknown function	phrog_8702	hypothetical		3
head and packaging	phrog_8711	terminase large subunit		6
unknown function	phrog_8735	hypothetical		4
lysis	phrog_881	holin		25
unknown function	phrog_8986	hypothetical		10
moron, auxiliary metabolic gene and host takeover	phrog_9151	HicB-like antitoxin		1
DNA, RNA and nucleotide metabolism	phrog_9270	tyrosyl-tRNA synthetase		14
unknown function	phrog_9408	hypothetical		13
transcription regulation	phrog_9438	anti-repressor		57
DNA, RNA and nucleotide metabolism	phrog_9454	exonuclease		6
integration and excision	phrog_95	integrase		9
DNA, RNA and nucleotide metabolism	phrog_9530	ribonucleotide reductase		1
other	phrog_9582	dehydrogenase		39
unknown function	phrog_9625	hypothetical		65
other	phrog_97	UvsX-like recombinase		8
other	phrog_9787	translation initiation factor		1
other	phrog_9896	phosphofructokinase		28
other	phrog_9968	methyltransferase		76
lysis	phrog_998	endolysin		39
