L1	ID	Function	EC	UNIPROT ID	Count
Virus protein with function beneficial for the host	VOG22863	Ribonucleoside-diphosphate reductase 2 subunit beta		RIR4_SALTY	2
Function unknown	VOG24355	Uracil-DNA glycosylase		UNG_VACCA	5
Virus protein with function beneficial for the host	VOG26984	ATP-dependent Clp protease ATP-binding subunit ClpX		CLPX_NOCSJ	2
Function unknown	VOG28987	Replication terminator			8
Virus protein with function beneficial for the host	VOG29087	Tyrosine--tRNA ligase 1		SYY1_VIBVY	1
Function unknown	VOG29131	DNA primase			1
Function unknown	VOG30606	Hypothetical protein			2
Virus protein with function beneficial for the host	VOG30672	Dihydrofolate reductase		DYR_BPT4	3
Function unknown	VOG30786	Single-stranded DNA-binding protein		SSB_MYCTU	10
Virus protein with function beneficial for the host	VOG32455	Chaperonin GroEL		CH60_KARMG	2
Function unknown	VOG33061	Hypothetical protein			1
Function unknown	VOG33675	Involved in bacteriocin production or immunity			2
Function unknown	VOG34613	Hypothetical protein			1
Function unknown	VOG37263	Putative protein p41		VP41_BPAPS	1
Virus protein with function beneficial for the host | Virus structure	VOG37466	DNA topoisomerase 1 type prokaryotic		TOP1P_MIMIV	3
Function unknown	VOG39225	SsrA-binding protein		SSRP_KLEP7	1
Virus protein with function beneficial for the host | Virus replication	VOG39242	Replicative DNA helicase		DNAC_BACSU	4
Function unknown	VOG39454	AAA family ATPase			2
Function unknown	VOG39935	Tail assembly chaperone			3
Virus protein with function beneficial for the host	VOG40469	Anaerobic ribonucleoside-triphosphate reductase		NRDD_SALTY	17
Function unknown	VOG40691	Hypothetical protein			2
Virus protein with function beneficial for the host	VOG41563	Probable glutamine--fructose-6-phosphate aminotransferase [isomerizing]		GFAT_MIMIV	3
Function unknown	VOG44330	Cold shock-like protein CspD		CSPD_VIBCH	3
Function unknown	VOG45942	Hypothetical protein			1
Virus protein with function beneficial for the host	VOG46482	Lysine--tRNA ligase		SYK_CRIGR	3
Virus protein with function beneficial for the host	VOG50688	Autonomous glycyl radical cofactor		GRCA_BPT4	3
Virus protein with function beneficial for the host	VOG50974	ATP-dependent Clp protease ATP-binding subunit ClpA		CLPA_ECOLI	40
Function unknown	VOG51550	DNA primase			22
Virus protein with function beneficial for the host	VOG53034	Bactoprenol glucosyl transferase		GTRB_BPSF5	1
Function unknown	VOG53722	Hypothetical protein			13
Function unknown	VOG55385	Carboxylate--amine ligase			1
Function unknown	VOG56265	Superinfection exclusion			2
Virus replication	VOG56411	Small ribosomal subunit protein bS21		RS21_YERPP	1
Virus protein with function beneficial for the host | Virus replication	VOG56757	DNA ligase		DNLJ_CAMC1	4
Function unknown	VOG57154	Hypothetical protein			4
Virus protein with function beneficial for the host | Virus replication	VOG57177	Integrase		INTR_SACER	5
Function unknown	VOG60362	DNA helicase			1
Function unknown	VOG60711	Hypothetical protein			9
Function unknown	VOG60876	SPbeta prophage-derived uncharacterized protein YorM		YORM_BACSU	7
Function unknown	VOG61899	Anti-repressor Ant			1
Function unknown	VOG62282	Ribonuclease R		RNR_BACSU	2
Function unknown	VOG62698	Minor head protein			12
Function unknown	VOG63305	Tail length tape measure protein			1
Virus protein with function beneficial for the host	VOG64354	Exonuclease subunit 2		EXO2_BPR69	3
Virus replication	VOG64443	Terminase small subunit		TERS_BPSF6	2
Function unknown	VOG64671	FtsK/SpoIIIE-like protein			1
Function unknown	VOG66140	Anti-repressor			6
Function unknown	VOG66586	Tail length tape measure protein			4
Function unknown	VOG67098	Hypothetical protein			3
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG67948	Capsid protein F		CAPSD_BPPHS	1
Function unknown	VOG69026	Putative human platelet-binding protein			1
Virus protein with function beneficial for the host	VOG71596	Protein Soj homolog		SOJ_TREPA	1
