protein	id	evalue	score
MP_BCQMy206___contig_1_1067	K02337	0.0	1211.4
GCA_025728635___contig_82_9	K02337	0.0	1211.4
MP_QEQMy132961___contig_1_660	K02337	0.0	1212.6
GCA_001047525___contig_3_295	K03723	0.0	1360.6
MP_QEQMy132961___contig_1_266	K03723	0.0	1360.6
MP_BCQMy206___contig_1_216	K02355	0.0	1093.9
MP_BCQMy206___contig_1_761	K16898	0.0	1012.8
GCA_001047455___contig_3_395	K03702	0.0	1218.5
GCA_025728615___contig_1_73	K03702	0.0	1224.5
MP_QEQMy132961___contig_1_1114	K01531	0.0	1244.1
MP_BCQMy206___contig_1_1348	K01869	0.0	1285.2
MP_QEQMy132961___contig_1_403	K01869	0.0	1281.6
GCA_025728615___contig_1_171	K01870	0.0	1113.4
MP_BCQMy206___contig_1_560	K01870	0.0	1113.4
GCA_001047455___contig_3_495	K01870	0.0	1112.4
GCA_001047595___contig_7_206	K01870	0.0	1112.4
GCA_025728695___contig_70_23	K03723	0.0	1361.0
MP_QEQMy132961___contig_1_1267	K01870	0.0	1112.4
GCA_003462485___contig_1_534	K01870	0.0	1111.4
MP_QEQMy132961___contig_1_1183	K01531	0.0	1268.9
GCA_001047455___contig_3_579	K01531	0.0	1268.9
GCA_001047595___contig_7_290	K01531	0.0	1270.9
MP_BCQMy206___contig_1_643	K01531	0.0	1274.1
GCA_025728635___contig_18_2	K06959	0.0	1066.0
MP_BCQMy206___contig_1_1017	K06959	0.0	1066.0
GCA_025728595___contig_5_22	K03529	0.0	1112.8
MP_BCQMy206___contig_1_1729	K03529	0.0	1112.8
GCA_003462485___contig_19_14	K03702	0.0	1236.9
MP_BCQMy206___contig_1_707	K01531	0.0	1245.2
MP_BCQMy206___contig_1_5	K02470	0.0	1081.5
GCA_001047525___contig_3_35	K02470	0.0	1081.5
GCA_001047455___contig_3_16	K03529	0.0	1111.0
MP_QEQMy132961___contig_1_1141	K03070	0.0	1229.1
MP_QEQMy132961___contig_1_1575	K22330	0.0	1248.4
GCA_001047455___contig_3_648	K01531	0.0	1244.1
GCA_001047595___contig_7_357	K01531	0.0	1244.6
MP_BCQMy206___contig_1_400	K03702	0.0	1224.5
MP_QEQMy132961___contig_1_1744	K03529	0.0	1111.0
GCA_025728675___contig_22_90	K01869	0.0	1285.2
GCA_001047525___contig_3_322	K03529	0.0	1111.0
GCA_001047595___contig_7_411	K16898	8.699999999999994e-304	1010.0
GCA_001047455___contig_3_703	K16898	9.999999999999993e-304	1009.7
MP_QEQMy132961___contig_1_1059	K16898	9.999999999999993e-304	1009.7
GCA_003462485___contig_1_231	K06207	1.599999999999999e-303	1007.6
GCA_025728675___contig_22_163	K12952	2.799999999999998e-302	1003.9
MP_BCQMy206___contig_1_1275	K12952	3.0999999999999983e-302	1003.7
MP_QEQMy132961___contig_1_483	K12952	7.499999999999995e-302	1002.5
MP_QEQMy132961___contig_1_820	K19005	7.499999999999996e-300	995.7
GCA_025728615___contig_1_270	K01537	9.399999999999995e-300	996.3
MP_BCQMy206___contig_1_659	K01537	9.399999999999995e-300	996.3
MP_BCQMy206___contig_1_922	K19005	4.199999999999997e-299	993.2
GCA_014202715___contig_6_79	K19005	5.599999999999997e-299	992.8
GCA_025728675___contig_49_74	K19005	1.2999999999999995e-298	991.6
GCA_001047515___contig_12_36	K19005	2.5999999999999987e-297	987.3
GCA_001047455___contig_3_321	K00687	1.699999999999999e-296	984.0
MP_QEQMy132961___contig_1_1442	K00687	1.699999999999999e-296	984.0
MP_BCQMy206___contig_1_285	K00687	1.699999999999999e-296	984.0
GCA_001047595___contig_7_32	K00687	8.899999999999994e-296	981.6
GCA_003462485___contig_1_199	K19005	1.3999999999999993e-295	981.5
GCA_001047435___contig_6_12	K02519	4.799999999999997e-293	973.8
MP_QEQMy132961___contig_1_708	K02519	4.799999999999997e-293	973.8
GCA_025728635___contig_18_12	K02519	2.4999999999999986e-292	971.4
MP_BCQMy206___contig_1_1027	K02519	2.4999999999999986e-292	971.4
GCA_003462485___contig_1_500	K04041	4.199999999999998e-292	969.2
MP_BCQMy206___contig_1_703	K03693	6.499999999999996e-290	963.4
MP_QEQMy132961___contig_1_1782	K03495	1.6999999999999992e-289	961.7
GCA_001047525___contig_3_22	K03495	1.6999999999999992e-289	961.7
MP_BCQMy206___contig_1_1766	K03495	2.8999999999999982e-289	961.0
MP_BCQMy206___contig_1_172	K18887	4.899999999999997e-289	958.4
GCA_001047595___contig_7_353	K03693	1.2999999999999992e-288	959.1
GCA_001047455___contig_3_643	K03693	1.2999999999999992e-288	959.1
MP_QEQMy132961___contig_1_1119	K03693	1.2999999999999992e-288	959.1
MP_BCQMy206___contig_1_868	K02621	5.199999999999997e-288	957.3
GCA_025728675___contig_49_19	K02621	5.199999999999997e-288	957.3
MP_BCQMy206___contig_1_173	K18888	5.599999999999997e-288	955.3
GCA_003462485___contig_1_213	K02621	6.499999999999996e-288	957.0
GCA_014202715___contig_6_20	K02621	1.0999999999999994e-287	956.2
MP_QEQMy132961___contig_1_878	K02621	1.0999999999999994e-287	956.2
GCA_001047525___contig_3_222	K18888	3.499999999999998e-287	952.6
MP_QEQMy132961___contig_1_193	K18888	3.499999999999998e-287	952.6
GCA_001047525___contig_3_221	K18887	1.499999999999999e-286	950.3
MP_QEQMy132961___contig_1_192	K18887	1.499999999999999e-286	950.3
MP_QEQMy132961___contig_1_1165	K01537	8.599999999999995e-286	950.0
GCA_001047455___contig_3_597	K01537	8.599999999999995e-286	950.0
GCA_001047595___contig_7_308	K01537	9.099999999999994e-286	949.9
GCA_003462485___contig_1_214	K00656	6.999999999999996e-285	946.3
MP_QEQMy132961___contig_1_879	K00656	1.6999999999999988e-284	945.0
MP_BCQMy206___contig_1_867	K00656	3.099999999999998e-284	944.1
GCA_014202715___contig_6_19	K00656	3.099999999999998e-284	944.1
GCA_025728675___contig_49_18	K00656	3.099999999999998e-284	944.1
GCA_003462485___contig_1_600	K00105	4.399999999999998e-284	942.2
MP_BCQMy206___contig_1_389	K01972	3.199999999999998e-281	934.5
GCA_025728615___contig_1_62	K01972	3.199999999999998e-281	934.5
GCA_001047455___contig_3_383	K01972	6.499999999999996e-281	933.5
GCA_001047595___contig_7_94	K01972	6.499999999999996e-281	933.5
MP_QEQMy132961___contig_1_1379	K01972	6.499999999999996e-281	933.5
GCA_014202715___contig_6_21	K02470	9.199999999999995e-281	932.6
MP_BCQMy206___contig_1_869	K02470	9.199999999999995e-281	932.6
MP_QEQMy132961___contig_1_877	K02470	9.199999999999995e-281	932.6
GCA_025728675___contig_49_20	K02470	9.199999999999995e-281	932.6
GCA_003462485___contig_1_183	K12952	1.6999999999999991e-280	931.8
MP_BCQMy206___contig_1_1319	K01537	3.699999999999998e-280	931.4
GCA_025728675___contig_22_118	K01537	3.699999999999998e-280	931.4
GCA_025728695___contig_70_29	K03798	4.399999999999998e-280	930.6
MP_BCQMy206___contig_1_248	K03798	4.399999999999998e-280	930.6
GCA_003462485___contig_1_212	K02470	4.899999999999997e-280	930.2
GCA_001047525___contig_3_301	K03798	8.599999999999996e-280	929.7
MP_QEQMy132961___contig_1_272	K03798	8.599999999999996e-280	929.7
GCA_001047515___contig_12_16	K12952	1.799999999999999e-278	925.1
MP_BCQMy206___contig_1_902	K12952	5.999999999999997e-278	923.4
GCA_025728675___contig_49_54	K12952	5.999999999999997e-278	923.4
MP_BCQMy223___contig_2_99	K05989	1.2999999999999994e-277	923.4
GCA_025728695___contig_67_12	K04759	1.799999999999999e-277	921.7
MP_BCQMy206___contig_1_1527	K04759	1.799999999999999e-277	921.7
GCA_025728595___contig_13_183	K04759	1.799999999999999e-277	921.7
GCA_014202715___contig_6_59	K12952	1.9999999999999992e-277	921.6
MP_QEQMy132961___contig_1_840	K12952	2.699999999999999e-277	921.2
GCA_003462485___contig_1_38	K00687	6.799999999999997e-277	919.2
MP_BCQMy206___contig_1_185	K00656	1.2999999999999995e-276	918.9
GCA_003462485___contig_1_7	K12573	2.8999999999999983e-276	917.8
GCA_003462485___contig_1_608	K01938	3.999999999999998e-276	915.9
GCA_003462485___contig_19_69	K02808	5.699999999999997e-276	915.7
GCA_003462485___contig_1_615	K01712	9.299999999999993e-275	912.5
GCA_025728675___contig_49_28	K03168	5.899999999999997e-274	911.0
GCA_014202715___contig_6_30	K03168	1.6999999999999993e-273	909.4
MP_QEQMy132961___contig_1_869	K03168	2.4999999999999986e-273	908.9
MP_BCQMy206___contig_1_877	K03168	2.9999999999999986e-273	908.6
GCA_001047555___contig_1_102	K05989	3.3999999999999987e-273	908.8
GCA_000270185___contig_2_62	K05989	1.899999999999999e-272	906.4
GCA_025728615___contig_1_50	K12555	5.999999999999997e-272	903.1
MP_BCQMy206___contig_1_377	K12555	5.999999999999997e-272	903.1
GCA_025728615___contig_1_160	K12556	8.399999999999996e-272	902.5
MP_BCQMy206___contig_1_549	K12556	8.399999999999996e-272	902.5
GCA_001047455___contig_3_484	K12556	1.4999999999999992e-271	901.6
MP_QEQMy132961___contig_1_1278	K12556	1.4999999999999992e-271	901.6
MP_QEQMy132961___contig_1_1392	K12555	5.099999999999997e-271	900.0
GCA_001047595___contig_7_81	K12555	5.099999999999997e-271	900.0
GCA_001047455___contig_3_370	K12555	5.099999999999997e-271	900.0
GCA_001047595___contig_7_195	K12556	6.399999999999996e-271	899.5
MP_BCQMy206___contig_1_918	K01938	1.899999999999999e-269	893.9
GCA_025728675___contig_49_70	K01938	1.899999999999999e-269	893.9
MP_BCQMy206___contig_1_1260	K02112	3.999999999999998e-269	893.9
GCA_025728675___contig_22_178	K02112	3.999999999999998e-269	893.9
GCA_003462485___contig_1_15	K02112	9.599999999999995e-269	892.7
MP_QEQMy132961___contig_1_716	K04043	1.0999999999999993e-268	892.4
MP_BCQMy206___contig_1_1019	K04043	1.0999999999999993e-268	892.4
GCA_025728635___contig_18_4	K04043	1.0999999999999993e-268	892.4
GCA_001047435___contig_6_4	K04043	1.0999999999999993e-268	892.4
MP_QEQMy132961___contig_1_498	K02112	3.699999999999998e-268	890.7
MP_BCQMy206___contig_1_1269	K12573	5.799999999999997e-268	890.3
GCA_001047525___contig_3_416	K10793	9.399999999999996e-268	888.5
MP_QEQMy132961___contig_1_1651	K10793	9.399999999999996e-268	888.5
GCA_001047455___contig_3_110	K10793	9.399999999999996e-268	888.5
GCA_025728595___contig_13_62	K10793	1.0999999999999995e-267	888.3
MP_BCQMy206___contig_1_1648	K10793	1.0999999999999995e-267	888.3
GCA_025728675___contig_22_123	K01533	1.4999999999999991e-267	889.9
MP_BCQMy206___contig_1_1314	K01533	1.4999999999999991e-267	889.9
GCA_001047515___contig_12_32	K01938	1.999999999999999e-267	887.2
GCA_014202715___contig_6_75	K01938	1.999999999999999e-267	887.2
MP_QEQMy132961___contig_1_824	K01938	4.999999999999998e-266	882.6
GCA_025728675___contig_22_176	K02111	2.1999999999999987e-265	881.5
MP_BCQMy206___contig_1_1262	K02111	2.1999999999999987e-265	881.5
MP_QEQMy132961___contig_1_489	K12573	3.699999999999998e-265	881.0
MP_QEQMy132961___contig_1_496	K02111	6.799999999999997e-265	879.8
MP_QEQMy132961___contig_1_442	K01533	1.699999999999999e-264	879.8
GCA_003462485___contig_1_279	K01533	3.0999999999999985e-264	878.9
GCA_025728675___contig_22_169	K12573	4.099999999999998e-264	877.6
MP_QEQMy132961___contig_1_623	K00951	3.399999999999998e-263	874.7
GCA_003462485___contig_1_13	K02111	4.6999999999999976e-263	873.7
GCA_025728635___contig_82_42	K00951	5.2999999999999976e-263	874.1
MP_BCQMy206___contig_1_1100	K00951	3.099999999999998e-262	871.6
GCA_025728675___contig_22_159	K04077	3.799999999999998e-262	870.8
MP_BCQMy206___contig_1_1279	K04077	3.799999999999998e-262	870.8
MP_QEQMy132961___contig_1_479	K04077	4.0999999999999974e-262	870.7
MP_BCQMy223___contig_2_81	K02787	4.799999999999998e-261	866.0
GCA_003462485___contig_1_326	K01868	1.5999999999999993e-260	865.7
MP_BCQMy206___contig_1_1465	K02334	6.999999999999996e-259	859.5
GCA_003462485___contig_1_418	K00132	3.4999999999999986e-258	856.4
GCA_001047525___contig_3_237	K00656	3.6999999999999986e-258	857.9
MP_QEQMy132961___contig_1_208	K00656	3.6999999999999986e-258	857.9
GCA_025728675___contig_49_7	K02802	3.899999999999998e-257	853.3
MP_BCQMy206___contig_1_856	K02802	3.899999999999998e-257	853.3
MP_QEQMy132961___contig_1_963	K02802	1.4999999999999993e-256	851.4
GCA_014202715___contig_6_6	K02802	1.999999999999999e-256	851.0
MP_BCQMy206___contig_1_222	K04066	2.5999999999999986e-256	851.5
GCA_025728695___contig_70_3	K04066	2.5999999999999986e-256	851.5
GCA_025728695___contig_77_3	K05342	4.899999999999998e-255	847.5
MP_BCQMy206___contig_1_46	K05342	4.899999999999998e-255	847.5
GCA_001047525___contig_3_275	K04066	8.899999999999995e-255	846.5
MP_QEQMy132961___contig_1_246	K04066	8.899999999999995e-255	846.5
GCA_001047525___contig_3_81	K05342	2.5999999999999988e-254	845.1
MP_QEQMy132961___contig_1_51	K05342	2.5999999999999988e-254	845.1
MP_BCQMy206___contig_1_780	K01937	4.499999999999998e-253	840.4
MP_QEQMy132961___contig_1_241	K02358	1.5999999999999994e-252	839.9
MP_BCQMy206___contig_1_217	K02358	1.5999999999999994e-252	839.9
GCA_001047525___contig_3_270	K02358	1.5999999999999994e-252	839.9
GCA_003462485___contig_1_466	K07456	8.799999999999996e-252	837.1
GCA_001047595___contig_7_431	K01937	1.1999999999999994e-251	835.6
MP_QEQMy132961___contig_1_1039	K01937	2.299999999999999e-251	834.8
GCA_001047455___contig_3_723	K01937	2.299999999999999e-251	834.8
MP_BCQMy206___contig_1_747	K07456	9.299999999999993e-251	833.7
GCA_001047595___contig_7_397	K07456	1.1999999999999995e-250	833.3
MP_QEQMy132961___contig_1_1073	K07456	1.1999999999999995e-250	833.3
GCA_001047455___contig_3_689	K07456	1.1999999999999995e-250	833.3
GCA_003462485___contig_1_539	K02757	1.5999999999999994e-250	831.9
MP_BCQMy206___contig_1_744	K01534	4.099999999999997e-250	831.3
MP_BCQMy206___contig_1_191	K10548	4.599999999999998e-249	825.7
MP_BCQMy206___contig_1_1253	K02757	1.499999999999999e-248	825.3
GCA_025728675___contig_22_185	K02757	1.499999999999999e-248	825.3
MP_BCQMy206___contig_1_1094	K01876	4.599999999999997e-248	824.2
GCA_025728635___contig_82_36	K01876	4.599999999999997e-248	824.2
MP_QEQMy132961___contig_1_630	K01876	4.099999999999998e-247	821.1
GCA_001047525___contig_3_219	K12574	7.799999999999996e-247	819.8
MP_QEQMy132961___contig_1_190	K12574	7.799999999999996e-247	819.8
MP_BCQMy206___contig_1_170	K12574	8.199999999999996e-247	819.7
GCA_003462485___contig_1_522	K12556	1.499999999999999e-246	818.9
GCA_025728595___contig_13_99	K02757	2.7999999999999984e-246	817.9
MP_BCQMy206___contig_1_1611	K02757	2.7999999999999984e-246	817.9
MP_QEQMy132961___contig_1_216	K10548	1.7999999999999992e-245	813.9
GCA_001047525___contig_3_245	K10548	1.7999999999999992e-245	813.9
GCA_025728615___contig_1_57	K02770	1.3999999999999993e-244	812.3
MP_BCQMy206___contig_1_384	K02769	1.3999999999999993e-244	812.3
GCA_001047515___contig_12_19	K14205	3.699999999999998e-244	811.3
GCA_014202715___contig_6_62	K14205	3.699999999999998e-244	811.3
MP_QEQMy132961___contig_1_837	K14205	3.8999999999999986e-244	811.2
GCA_025728675___contig_49_57	K14205	6.599999999999997e-244	810.5
MP_BCQMy206___contig_1_905	K14205	6.599999999999997e-244	810.5
GCA_025728615___contig_1_61	K03657	7.899999999999996e-244	811.0
MP_BCQMy206___contig_1_388	K03657	7.899999999999996e-244	811.0
MP_QEQMy132961___contig_1_1385	K02769	9.199999999999995e-244	809.6
GCA_001047595___contig_7_88	K02769	9.199999999999995e-244	809.6
GCA_001047455___contig_3_377	K02769	9.199999999999995e-244	809.6
MP_BCQMy206___contig_1_284	K01868	1.299999999999999e-243	809.7
MP_QEQMy132961___contig_1_1443	K01868	2.3999999999999985e-243	808.9
GCA_001047595___contig_7_31	K01868	2.3999999999999985e-243	808.9
GCA_001047455___contig_3_320	K01868	2.3999999999999985e-243	808.9
MP_BCQMy206___contig_1_1738	K18682	4.999999999999998e-243	806.6
GCA_025728595___contig_5_31	K18682	4.999999999999998e-243	806.6
GCA_001047525___contig_3_313	K18682	1.2999999999999995e-242	805.2
GCA_001047455___contig_3_7	K18682	1.2999999999999995e-242	805.2
MP_QEQMy132961___contig_1_1753	K18682	1.2999999999999995e-242	805.2
GCA_025728615___contig_1_55	K08483	1.0999999999999995e-241	803.0
MP_BCQMy206___contig_1_382	K08483	1.0999999999999995e-241	803.0
MP_QEQMy132961___contig_1_1387	K08483	1.4999999999999993e-241	802.7
GCA_001047595___contig_7_86	K08483	1.4999999999999993e-241	802.7
GCA_001047455___contig_3_375	K08483	1.4999999999999993e-241	802.7
MP_BCQMy206___contig_1_938	K00158	2.7999999999999992e-241	800.7
GCA_025728675___contig_49_90	K00158	3.299999999999998e-241	800.5
GCA_001047595___contig_7_93	K03657	4.799999999999998e-241	801.8
MP_QEQMy132961___contig_1_1380	K03657	8.299999999999994e-241	801.0
GCA_001047455___contig_3_382	K03657	8.299999999999994e-241	801.0
MP_QEQMy132961___contig_1_801	K00158	8.299999999999994e-241	799.1
GCA_014202715___contig_6_96	K00158	9.799999999999994e-241	798.9
GCA_003462485___contig_1_475	K18682	9.899999999999994e-241	799.0
GCA_001047525___contig_3_487	K01621	1.5999999999999993e-239	796.8
MP_QEQMy132961___contig_1_1579	K01621	1.5999999999999993e-239	796.8
GCA_001047455___contig_3_182	K01621	1.5999999999999993e-239	796.8
GCA_003462485___contig_1_35	K15738	2.5999999999999987e-238	792.3
MP_BCQMy206___contig_1_970	K01879	3.099999999999998e-238	792.2
GCA_003462485___contig_1_140	K09014	3.099999999999998e-238	790.8
MP_QEQMy132961___contig_1_767	K01879	4.0999999999999974e-238	791.8
GCA_025728615___contig_1_93	K01421	6.999999999999997e-238	791.4
MP_BCQMy206___contig_1_420	K01421	6.999999999999997e-238	791.4
GCA_025728695___contig_88_8	K01643	7.199999999999998e-237	786.0
MP_BCQMy223___contig_2_23	K01643	7.199999999999998e-237	786.0
GCA_003462485___contig_1_599	K00864	8.799999999999996e-237	786.6
GCA_000270185___contig_2_135	K01643	9.699999999999996e-237	785.5
GCA_001047525___contig_1_7	K01643	9.699999999999996e-237	785.5
GCA_001047555___contig_1_13	K01643	9.699999999999996e-237	785.5
MP_BCQMy206___contig_1_1412	K02837	9.999999999999995e-235	778.8
GCA_025728675___contig_22_26	K02837	9.999999999999995e-235	778.8
MP_QEQMy132961___contig_1_10	K22927	1.1999999999999993e-234	779.4
GCA_001047525___contig_3_40	K22927	1.2999999999999997e-234	779.4
MP_BCQMy206___contig_1_10	K22927	1.2999999999999997e-234	779.4
MP_BCQMy223___contig_2_88	K18104	9.899999999999998e-234	775.8
MP_QEQMy132961___contig_1_328	K02837	1.4999999999999993e-233	774.9
GCA_000270185___contig_2_73	K18104	6.0999999999999975e-233	773.2
GCA_001047555___contig_1_114	K18104	6.0999999999999975e-233	773.2
MP_BCQMy206___contig_1_1062	K00033	1.2999999999999994e-232	772.3
GCA_025728635___contig_82_4	K00033	1.2999999999999994e-232	772.3
MP_QEQMy132961___contig_1_665	K00033	1.0999999999999996e-231	769.3
MP_BCQMy206___contig_1_236	K17073	5.299999999999998e-231	766.4
MP_BCQMy206___contig_1_749	K03703	5.399999999999998e-231	767.9
GCA_001047595___contig_7_399	K03703	5.399999999999998e-231	767.9
GCA_001047455___contig_3_691	K03703	5.399999999999998e-231	767.9
MP_QEQMy132961___contig_1_1071	K03703	5.399999999999998e-231	767.9
GCA_025728695___contig_70_17	K17073	6.899999999999997e-231	766.1
MP_BCQMy206___contig_1_266	K01961	7.899999999999995e-231	765.9
MP_BCQMy206___contig_1_32	K09698	9.099999999999995e-231	765.8
MP_BCQMy206___contig_1_836	K15738	1.699999999999999e-230	766.4
GCA_001047525___contig_3_289	K17073	1.799999999999999e-230	764.7
GCA_001047595___contig_7_13	K01961	1.999999999999999e-230	764.6
GCA_001047455___contig_3_302	K01961	1.999999999999999e-230	764.6
MP_QEQMy132961___contig_1_1462	K01961	1.999999999999999e-230	764.6
GCA_001047595___contig_7_413	K01890	2.599999999999999e-230	766.3
GCA_001047455___contig_3_705	K01890	2.7999999999999983e-230	766.2
MP_QEQMy132961___contig_1_1057	K01890	2.7999999999999983e-230	766.2
GCA_001047525___contig_3_67	K09698	2.899999999999998e-230	764.1
MP_QEQMy132961___contig_1_37	K09698	2.899999999999998e-230	764.1
GCA_003462485___contig_1_468	K03703	3.399999999999998e-230	765.2
MP_QEQMy132961___contig_1_260	K17073	3.999999999999998e-230	763.5
GCA_025728695___contig_70_14	K03655	5.499999999999998e-230	765.2
MP_BCQMy206___contig_1_233	K03655	5.499999999999998e-230	765.2
GCA_014202715___contig_6_29	K04094	8.099999999999995e-230	762.6
MP_QEQMy132961___contig_1_870	K04094	8.099999999999995e-230	762.6
GCA_001047455___contig_3_526	K20444	1.1999999999999993e-229	763.9
MP_QEQMy132961___contig_1_1236	K20444	1.1999999999999993e-229	763.9
GCA_003462485___contig_1_628	K00602	1.1999999999999993e-229	762.8
GCA_025728615___contig_1_200	K20444	1.2999999999999995e-229	763.8
