scaffold	type	Quality
GCA_000747585___contig_1_fragment_8	lysogenic	high quality draft
GCA_000747585___contig_1_fragment_11	lysogenic	low quality draft
GCA_025728645___contig_1_fragment_4	lysogenic	medium quality draft
GCA_025728675___contig_23	lytic	low quality draft
GCA_025728675___contig_26	lytic	low quality draft
MP_BCQMy224___contig_3	lytic	low quality draft
GCA_025728675___contig_11	lytic	low quality draft
MP_AB35___contig_3	lytic	low quality draft
GCA_001047545___contig_10_fragment_1	lysogenic	low quality draft
GCA_001047435___contig_7_fragment_1	lysogenic	low quality draft
GCA_001047545___contig_7_fragment_1	lysogenic	high quality draft
GCA_003966875___contig_1_fragment_4	lysogenic	low quality draft
GCA_001047595___contig_10_fragment_2	lysogenic	high quality draft
GCA_001047595___contig_10_fragment_3	lysogenic	low quality draft
GCA_014202715___contig_2_fragment_5	lysogenic	low quality draft
GCA_014202715___contig_2_fragment_6	lysogenic	high quality draft
GCA_025728645___contig_27	lytic	low quality draft
GCA_025728595___contig_25	lytic	low quality draft
GCA_025728695___contig_141	lytic	low quality draft
MP_ONT231___contig_3	lytic	low quality draft
MP_ONT143___contig_3	lytic	low quality draft
GCA_025728675___contig_18	lytic	low quality draft
GCA_025728695___contig_128	lysogenic	low quality draft
GCA_025728645___contig_9	lytic	high quality draft
MP_LCAL0054___contig_3	lytic	low quality draft
MP_BCQMy205___contig_1_fragment_3	lysogenic	high quality draft
MP_BCQMy205___contig_1_fragment_5	lysogenic	medium quality draft
MP_BCQMy205___contig_1_fragment_11	lysogenic	high quality draft
MP_BCQMy205___contig_1_fragment_12	lysogenic	low quality draft
MP_BCQMy205___contig_1_fragment_14	lysogenic	medium quality draft
GCA_025728635___contig_1_fragment_4	lysogenic	medium quality draft
GCA_001047455___contig_5_fragment_1	lysogenic	low quality draft
GCA_009731445___contig_1_fragment_6	lysogenic	high quality draft
GCA_009731445___contig_1_fragment_9	lysogenic	low quality draft
GCA_025728645___contig_8	lytic	medium quality draft
MP_BCQMy204___contig_3	lytic	low quality draft
MP_BC9___contig_3	lytic	low quality draft
GCA_025728635___contig_25	lytic	low quality draft
GCA_025728595___contig_27	lytic	low quality draft
GCA_025728595___contig_22	lytic	low quality draft
MP_LCAL0064___contig_3	lytic	low quality draft
MP_LCAL0064___contig_1_fragment_3	lysogenic	high quality draft
MP_LCAL0064___contig_1_fragment_5	lysogenic	medium quality draft
MP_LCAL0064___contig_1_fragment_7	lysogenic	medium quality draft
MP_LCAL0064___contig_1_fragment_12	lysogenic	high quality draft
MP_LCAL0064___contig_1_fragment_13	lysogenic	low quality draft
GCA_004001205___contig_1_fragment_11	lysogenic	high quality draft
GCA_004001205___contig_1_fragment_12	lysogenic	low quality draft
GCA_025728675___contig_42_fragment_2	lysogenic	high quality draft
GCA_025728615___contig_13	lytic	high quality draft
MP_BCQMy205___contig_3	lytic	low quality draft
GCA_001047455___contig_8	lytic	low quality draft
GCA_025728635___contig_34	lytic	low quality draft
GCA_025728635___contig_22	lytic	high quality draft
GCA_025728675___contig_17	lytic	low quality draft
GCA_025728595___contig_10	lytic	high quality draft
MP_BCQMy224___contig_1_fragment_3	lysogenic	high quality draft
MP_BCQMy224___contig_1_fragment_5	lysogenic	medium quality draft
MP_BCQMy224___contig_1_fragment_11	lysogenic	high quality draft
MP_BCQMy224___contig_1_fragment_12	lysogenic	low quality draft
MP_BCQMy224___contig_1_fragment_14	lysogenic	high quality draft
MP_BCQMy302___contig_1_fragment_3	lysogenic	high quality draft
MP_BCQMy302___contig_1_fragment_5	lysogenic	medium quality draft
MP_BCQMy302___contig_1_fragment_7	lysogenic	medium quality draft
MP_BCQMy302___contig_1_fragment_12	lysogenic	high quality draft
MP_BCQMy302___contig_1_fragment_13	lysogenic	low quality draft
GCA_001047405___contig_4_fragment_1	lysogenic	low quality draft
MP_ONT63___contig_1_fragment_1	lysogenic	medium quality draft
MP_ONT63___contig_1_fragment_4	lysogenic	low quality draft
MP_ONT63___contig_1_fragment_12	lysogenic	medium quality draft
MP_ONT63___contig_1_fragment_14	lysogenic	high quality draft
GCA_001047455___contig_4_fragment_1	lysogenic	high quality draft
GCA_025728595___contig_34_fragment_3	lysogenic	low quality draft
GCA_025728595___contig_21	lytic	low quality draft
GCA_025728695___contig_122	lytic	low quality draft
GCA_025728695___contig_102	lytic	medium quality draft
GCA_025728595___contig_17	lytic	low quality draft
GCA_025728695___contig_87	lytic	high quality draft
GCA_025728645___contig_12	lytic	low quality draft
GCA_025728635___contig_26_fragment_1	lysogenic	low quality draft
MP_ONT141___contig_1_fragment_1	lysogenic	medium quality draft
MP_ONT141___contig_1_fragment_4	lysogenic	low quality draft
MP_ONT141___contig_1_fragment_12	lysogenic	medium quality draft
MP_ONT141___contig_1_fragment_14	lysogenic	high quality draft
MP_QEQMy133751___contig_1_fragment_7	lysogenic	low quality draft
MP_QEQMy133751___contig_1_fragment_10	lysogenic	high quality draft
MP_AB35___contig_1_fragment_3	lysogenic	high quality draft
MP_AB35___contig_1_fragment_5	lysogenic	medium quality draft
MP_AB35___contig_1_fragment_7	lysogenic	medium quality draft
MP_AB35___contig_1_fragment_12	lysogenic	high quality draft
MP_AB35___contig_1_fragment_13	lysogenic	low quality draft
GCA_025728595___contig_24	lytic	low quality draft
GCA_025728645___contig_17	lytic	low quality draft
GCA_025728675___contig_10	lytic	medium quality draft
MP_BC9___contig_1_fragment_3	lysogenic	high quality draft
MP_BC9___contig_1_fragment_5	lysogenic	medium quality draft
MP_BC9___contig_1_fragment_7	lysogenic	medium quality draft
MP_BC9___contig_1_fragment_12	lysogenic	high quality draft
MP_BC9___contig_1_fragment_13	lysogenic	low quality draft
GCA_001047395___contig_6_fragment_1	lysogenic	low quality draft
GCA_001047555___contig_7_fragment_1	lysogenic	high quality draft
GCA_025728615___contig_10_fragment_1	lysogenic	low quality draft
GCA_025728615___contig_51_fragment_1	lysogenic	high quality draft
GCA_025728615___contig_12_fragment_3	lysogenic	low quality draft
GCA_025728595___contig_16	lysogenic	low quality draft
GCA_025728595___contig_15	lytic	low quality draft
GCA_025728695___contig_139	lytic	low quality draft
GCA_025728615___contig_11	lytic	medium quality draft
GCA_029024925___contig_1_fragment_12	lysogenic	high quality draft
GCA_029024925___contig_1_fragment_22	lysogenic	high quality draft
GCA_029024925___contig_1_fragment_23	lysogenic	medium quality draft
GCA_029024925___contig_1_fragment_32	lysogenic	high quality draft
MP_ONT81___contig_1_fragment_3	lysogenic	low quality draft
MP_ONT81___contig_1_fragment_4	lysogenic	medium quality draft
MP_ONT81___contig_1_fragment_12	lysogenic	medium quality draft
MP_ONT81___contig_1_fragment_14	lysogenic	high quality draft
GCA_025728675___contig_3_fragment_1	lysogenic	low quality draft
GCA_001047525___contig_7_fragment_1	lysogenic	low quality draft
GCA_001047395___contig_3_fragment_6	lysogenic	high quality draft
GCA_025728635___contig_21	lytic	medium quality draft
MP_BCQMy223___contig_3	lytic	low quality draft
GCA_001047395___contig_1	lytic	low quality draft
MP_BCQMy225___contig_3	lytic	low quality draft
GCA_025728695___contig_140	lytic	low quality draft
GCA_025728645___contig_11_fragment_1	lysogenic	low quality draft
GCA_025728595___contig_1_fragment_2	lysogenic	low quality draft
MP_BCQMy223___contig_1_fragment_3	lysogenic	high quality draft
MP_BCQMy223___contig_1_fragment_5	lysogenic	medium quality draft
MP_BCQMy223___contig_1_fragment_11	lysogenic	high quality draft
MP_BCQMy223___contig_1_fragment_12	lysogenic	low quality draft
MP_BCQMy223___contig_1_fragment_14	lysogenic	high quality draft
MP_ONT143___contig_1_fragment_1	lysogenic	medium quality draft
MP_ONT143___contig_1_fragment_4	lysogenic	low quality draft
MP_ONT143___contig_1_fragment_12	lysogenic	medium quality draft
MP_ONT143___contig_1_fragment_14	lysogenic	high quality draft
GCA_001047445___contig_7_fragment_5	lysogenic	low quality draft
GCA_001047445___contig_7_fragment_6	lysogenic	high quality draft
GCA_001047465___contig_10_fragment_1	lysogenic	high quality draft
GCA_004001225___contig_1_fragment_6	lysogenic	high quality draft
GCA_004001225___contig_1_fragment_9	lysogenic	low quality draft
GCA_001047445___contig_8_fragment_3	lysogenic	medium quality draft
GCA_025728695___contig_154	lytic	low quality draft
GCA_025728695___contig_133	lytic	low quality draft
GCA_001047405___contig_1	lysogenic	high quality draft
GCA_000270185___contig_1_fragment_12	lysogenic	high quality draft
GCA_000270185___contig_1_fragment_13	lysogenic	low quality draft
GCA_001047405___contig_3_fragment_7	lysogenic	high quality draft
GCA_025728615___contig_3_fragment_1	lysogenic	medium quality draft
MP_ONT231___contig_1_fragment_1	lysogenic	medium quality draft
MP_ONT231___contig_1_fragment_7	lysogenic	low quality draft
MP_ONT231___contig_1_fragment_9	lysogenic	medium quality draft
MP_ONT231___contig_1_fragment_11	lysogenic	high quality draft
GCA_001047455___contig_8	lytic	complete circular
