protein	scaffold	AMG KO	AMG KO name	Pfam	Pfam name
MP_BCQMy225___contig_1_fragment_12_1211	MP_BCQMy225___contig_1_fragment_12	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047515___contig_15_fragment_2_41	GCA_001047515___contig_15_fragment_2	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_000747585___contig_1_fragment_11_1464	GCA_000747585___contig_1_fragment_11	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_000747585___contig_1_fragment_11_1465	GCA_000747585___contig_1_fragment_11	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
GCA_001047545___contig_10_fragment_1_94	GCA_001047545___contig_10_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047545___contig_10_fragment_1_95	GCA_001047545___contig_10_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
GCA_001047435___contig_7_fragment_1_95	GCA_001047435___contig_7_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047435___contig_7_fragment_1_96	GCA_001047435___contig_7_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
GCA_003966875___contig_1_fragment_4_510	GCA_003966875___contig_1_fragment_4	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047595___contig_10_fragment_3_153	GCA_001047595___contig_10_fragment_3	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_014202715___contig_2_fragment_5_300	GCA_014202715___contig_2_fragment_5	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_BCQMy205___contig_1_fragment_5_449	MP_BCQMy205___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_BCQMy205___contig_1_fragment_12_1207	MP_BCQMy205___contig_1_fragment_12	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047455___contig_5_fragment_1_94	GCA_001047455___contig_5_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047455___contig_5_fragment_1_95	GCA_001047455___contig_5_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
GCA_009731445___contig_1_fragment_9_1174	GCA_009731445___contig_1_fragment_9	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_009731445___contig_1_fragment_9_1175	GCA_009731445___contig_1_fragment_9	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
MP_LCAL0064___contig_1_fragment_5_449	MP_LCAL0064___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_LCAL0064___contig_1_fragment_7_675	MP_LCAL0064___contig_1_fragment_7	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF13561.6	Enoyl-(Acyl carrier protein) reductase
MP_LCAL0064___contig_1_fragment_13_1253	MP_LCAL0064___contig_1_fragment_13	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_004001205___contig_1_fragment_12_1433	GCA_004001205___contig_1_fragment_12	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_BCQMy224___contig_1_fragment_5_449	MP_BCQMy224___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_BCQMy224___contig_1_fragment_12_1210	MP_BCQMy224___contig_1_fragment_12	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_BCQMy302___contig_1_fragment_5_449	MP_BCQMy302___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_BCQMy302___contig_1_fragment_7_674	MP_BCQMy302___contig_1_fragment_7	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF13561.6	Enoyl-(Acyl carrier protein) reductase
MP_BCQMy302___contig_1_fragment_13_1263	MP_BCQMy302___contig_1_fragment_13	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047405___contig_4_fragment_1_94	GCA_001047405___contig_4_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047405___contig_4_fragment_1_95	GCA_001047405___contig_4_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
MP_ONT63___contig_1_fragment_4_562	MP_ONT63___contig_1_fragment_4	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_025728635___contig_26_fragment_1_11	GCA_025728635___contig_26_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_ONT141___contig_1_fragment_4_558	MP_ONT141___contig_1_fragment_4	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_QEQMy133751___contig_1_fragment_7_573	MP_QEQMy133751___contig_1_fragment_7	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
MP_QEQMy133751___contig_1_fragment_7_574	MP_QEQMy133751___contig_1_fragment_7	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_AB35___contig_1_fragment_5_450	MP_AB35___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_AB35___contig_1_fragment_7_676	MP_AB35___contig_1_fragment_7	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF13561.6	Enoyl-(Acyl carrier protein) reductase
MP_AB35___contig_1_fragment_13_1264	MP_AB35___contig_1_fragment_13	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_BC9___contig_1_fragment_5_449	MP_BC9___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_BC9___contig_1_fragment_7_675	MP_BC9___contig_1_fragment_7	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF13561.6	Enoyl-(Acyl carrier protein) reductase
MP_BC9___contig_1_fragment_13_1261	MP_BC9___contig_1_fragment_13	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047395___contig_6_fragment_1_94	GCA_001047395___contig_6_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047395___contig_6_fragment_1_95	GCA_001047395___contig_6_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
GCA_025728615___contig_12_fragment_3_221	GCA_025728615___contig_12_fragment_3	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_029024925___contig_1_fragment_22_1716	GCA_029024925___contig_1_fragment_22	K01772	"hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]"	PF00762.19	Ferrochelatase
MP_ONT81___contig_1_fragment_3_504	MP_ONT81___contig_1_fragment_3	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_025728675___contig_3_fragment_1_10	GCA_025728675___contig_3_fragment_1	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
GCA_001047525___contig_7_fragment_1_95	GCA_001047525___contig_7_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047525___contig_7_fragment_1_96	GCA_001047525___contig_7_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
GCA_025728645___contig_11_fragment_1_10	GCA_025728645___contig_11_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_025728595___contig_1_fragment_2_254	GCA_025728595___contig_1_fragment_2	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_BCQMy223___contig_1_fragment_5_449	MP_BCQMy223___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_BCQMy223___contig_1_fragment_12_1211	MP_BCQMy223___contig_1_fragment_12	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_ONT143___contig_1_fragment_4_558	MP_ONT143___contig_1_fragment_4	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047445___contig_7_fragment_5_300	GCA_001047445___contig_7_fragment_5	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_004001225___contig_1_fragment_9_1174	GCA_004001225___contig_1_fragment_9	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_004001225___contig_1_fragment_9_1175	GCA_004001225___contig_1_fragment_9	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
GCA_000270185___contig_1_fragment_13_1462	GCA_000270185___contig_1_fragment_13	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_ONT231___contig_1_fragment_7_750	MP_ONT231___contig_1_fragment_7	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
