protein	scaffold	accession	name
MP_QEQMy132961___contig_1_fragment_7_566	MP_QEQMy132961___contig_1_fragment_7	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]
MP_QEQMy132961___contig_1_fragment_7_567	MP_QEQMy132961___contig_1_fragment_7	K09022	"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
MP_QEQMy132961___contig_1_fragment_7_568	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_569	MP_QEQMy132961___contig_1_fragment_7	VOG00459	REFSEQ putative CI-like transcriptional repressor
MP_QEQMy132961___contig_1_fragment_7_570	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_571	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_572	MP_QEQMy132961___contig_1_fragment_7	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_QEQMy132961___contig_1_fragment_7_573	MP_QEQMy132961___contig_1_fragment_7	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]
MP_QEQMy132961___contig_1_fragment_7_574	MP_QEQMy132961___contig_1_fragment_7	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]
MP_QEQMy132961___contig_1_fragment_7_575	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_576	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_577	MP_QEQMy132961___contig_1_fragment_7	VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17
MP_QEQMy132961___contig_1_fragment_7_578	MP_QEQMy132961___contig_1_fragment_7	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
MP_QEQMy132961___contig_1_fragment_7_579	MP_QEQMy132961___contig_1_fragment_7	PF12363.8	"Phage tail assembly chaperone protein, TAC"
MP_QEQMy132961___contig_1_fragment_7_580	MP_QEQMy132961___contig_1_fragment_7	VOG01394	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_581	MP_QEQMy132961___contig_1_fragment_7	VOG02632	REFSEQ gp14
MP_QEQMy132961___contig_1_fragment_7_582	MP_QEQMy132961___contig_1_fragment_7	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein
MP_QEQMy132961___contig_1_fragment_7_583	MP_QEQMy132961___contig_1_fragment_7	VOG00824	REFSEQ putative antireceptor
MP_QEQMy132961___contig_1_fragment_7_584	MP_QEQMy132961___contig_1_fragment_7	VOG21997	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_585	MP_QEQMy132961___contig_1_fragment_7	VOG13479	REFSEQ gp067
MP_QEQMy132961___contig_1_fragment_7_586	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_587	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_588	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_589	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_590	MP_QEQMy132961___contig_1_fragment_7	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_7_591	MP_QEQMy132961___contig_1_fragment_7	PF16938.5	Putative phage holin Dp-1
MP_QEQMy132961___contig_1_fragment_7_592	MP_QEQMy132961___contig_1_fragment_7	PF05382.13	Bacteriophage peptidoglycan hydrolase
MP_QEQMy132961___contig_1_fragment_10_888	MP_QEQMy132961___contig_1_fragment_10	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
MP_QEQMy132961___contig_1_fragment_10_889	MP_QEQMy132961___contig_1_fragment_10	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
MP_QEQMy132961___contig_1_fragment_10_890	MP_QEQMy132961___contig_1_fragment_10	K22300	"dicA; HTH-type transcriptional regulator, cell division transcriptional repressor"
MP_QEQMy132961___contig_1_fragment_10_891	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_892	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_893	MP_QEQMy132961___contig_1_fragment_10	PF09669.10	Phage regulatory protein Rha (Phage_pRha)
MP_QEQMy132961___contig_1_fragment_10_894	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_895	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_896	MP_QEQMy132961___contig_1_fragment_10	VOG20253	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_897	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_898	MP_QEQMy132961___contig_1_fragment_10	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
MP_QEQMy132961___contig_1_fragment_10_899	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_900	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_901	MP_QEQMy132961___contig_1_fragment_10	VOG14084	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_902	MP_QEQMy132961___contig_1_fragment_10	K07741	antB; anti-repressor protein
MP_QEQMy132961___contig_1_fragment_10_903	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_904	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_905	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_906	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_907	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_908	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_909	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_910	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_911	MP_QEQMy132961___contig_1_fragment_10	VOG11084	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_912	MP_QEQMy132961___contig_1_fragment_10	PF04404.12	ERF superfamily
MP_QEQMy132961___contig_1_fragment_10_913	MP_QEQMy132961___contig_1_fragment_10	PF16784.5	Putative HNHc nuclease
MP_QEQMy132961___contig_1_fragment_10_914	MP_QEQMy132961___contig_1_fragment_10	VOG21431	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_915	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_916	MP_QEQMy132961___contig_1_fragment_10	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
MP_QEQMy132961___contig_1_fragment_10_917	MP_QEQMy132961___contig_1_fragment_10	PF05866.11	Endodeoxyribonuclease RusA
MP_QEQMy132961___contig_1_fragment_10_918	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_919	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_920	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_921	MP_QEQMy132961___contig_1_fragment_10	VOG00065	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region
MP_QEQMy132961___contig_1_fragment_10_922	MP_QEQMy132961___contig_1_fragment_10	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_QEQMy132961___contig_1_fragment_10_923	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_924	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_925	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_926	MP_QEQMy132961___contig_1_fragment_10	VOG00962	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_927	MP_QEQMy132961___contig_1_fragment_10	VOG00687	REFSEQ terminase small subunit
MP_QEQMy132961___contig_1_fragment_10_928	MP_QEQMy132961___contig_1_fragment_10	VOG04497	REFSEQ putative terminase small subunit
MP_QEQMy132961___contig_1_fragment_10_929	MP_QEQMy132961___contig_1_fragment_10	PF03354.15	Phage Terminase
MP_QEQMy132961___contig_1_fragment_10_930	MP_QEQMy132961___contig_1_fragment_10	PF04860.12	Phage portal protein
MP_QEQMy132961___contig_1_fragment_10_931	MP_QEQMy132961___contig_1_fragment_10	K06904	K06904; uncharacterized protein
MP_QEQMy132961___contig_1_fragment_10_932	MP_QEQMy132961___contig_1_fragment_10	VOG13487	REFSEQ major capsid L
MP_QEQMy132961___contig_1_fragment_10_933	MP_QEQMy132961___contig_1_fragment_10	VOG00181	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_934	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_935	MP_QEQMy132961___contig_1_fragment_10	VOG03575	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_936	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_937	MP_QEQMy132961___contig_1_fragment_10	VOG01397	REFSEQ major tail protein
MP_QEQMy132961___contig_1_fragment_10_938	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_939	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_940	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_941	MP_QEQMy132961___contig_1_fragment_10	VOG21220	REFSEQ phage tape measure protein
MP_QEQMy132961___contig_1_fragment_10_942	MP_QEQMy132961___contig_1_fragment_10	VOG04056	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_943	MP_QEQMy132961___contig_1_fragment_10	VOG01075	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_944	MP_QEQMy132961___contig_1_fragment_10	PF06605.11	Prophage endopeptidase tail
MP_QEQMy132961___contig_1_fragment_10_945	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_946	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_947	MP_QEQMy132961___contig_1_fragment_10	VOG18935	REFSEQ hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_948	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_949	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_950	MP_QEQMy132961___contig_1_fragment_10	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
MP_QEQMy132961___contig_1_fragment_10_951	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_952	MP_QEQMy132961___contig_1_fragment_10	PF16938.5	Putative phage holin Dp-1
MP_QEQMy132961___contig_1_fragment_10_953	MP_QEQMy132961___contig_1_fragment_10	K07273	acm; lysozyme
MP_QEQMy132961___contig_1_fragment_10_954	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_955	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_956	MP_QEQMy132961___contig_1_fragment_10	None	hypothetical protein
MP_QEQMy132961___contig_1_fragment_10_957	MP_QEQMy132961___contig_1_fragment_10	PF10097.9	Predicted membrane protein (DUF2335)
MP_QEQMy132961___contig_1_fragment_10_958	MP_QEQMy132961___contig_1_fragment_10	VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA
MP_BCQMy206___contig_1_fragment_3_287	MP_BCQMy206___contig_1_fragment_3	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
MP_BCQMy206___contig_1_fragment_3_288	MP_BCQMy206___contig_1_fragment_3	VOG03321	REFSEQ hypothetical protein
MP_BCQMy206___contig_1_fragment_3_289	MP_BCQMy206___contig_1_fragment_3	VOG00361	sp|P10426|YIM2_BPPH1 Uncharacterized immunity region protein 2
MP_BCQMy206___contig_1_fragment_3_290	MP_BCQMy206___contig_1_fragment_3	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI
MP_BCQMy206___contig_1_fragment_3_291	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_292	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_293	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_294	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_295	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_296	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_297	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_298	MP_BCQMy206___contig_1_fragment_3	VOG00523	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
MP_BCQMy206___contig_1_fragment_3_299	MP_BCQMy206___contig_1_fragment_3	VOG00399	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44
MP_BCQMy206___contig_1_fragment_3_300	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_301	MP_BCQMy206___contig_1_fragment_3	PF13479.6	AAA domain
MP_BCQMy206___contig_1_fragment_3_302	MP_BCQMy206___contig_1_fragment_3	VOG03001	REFSEQ hypothetical protein
MP_BCQMy206___contig_1_fragment_3_303	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_304	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_305	MP_BCQMy206___contig_1_fragment_3	VOG00674	REFSEQ putative DNA polymerase
MP_BCQMy206___contig_1_fragment_3_306	MP_BCQMy206___contig_1_fragment_3	VOG00724	sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase
MP_BCQMy206___contig_1_fragment_3_307	MP_BCQMy206___contig_1_fragment_3	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_BCQMy206___contig_1_fragment_3_308	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_309	MP_BCQMy206___contig_1_fragment_3	VOG00679	REFSEQ HNH endonuclease
MP_BCQMy206___contig_1_fragment_3_310	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_311	MP_BCQMy206___contig_1_fragment_3	PF03354.15	Phage Terminase
MP_BCQMy206___contig_1_fragment_3_312	MP_BCQMy206___contig_1_fragment_3	PF04860.12	Phage portal protein
MP_BCQMy206___contig_1_fragment_3_313	MP_BCQMy206___contig_1_fragment_3	K06904	K06904; uncharacterized protein
MP_BCQMy206___contig_1_fragment_3_314	MP_BCQMy206___contig_1_fragment_3	PF05065.13	Phage capsid family
MP_BCQMy206___contig_1_fragment_3_315	MP_BCQMy206___contig_1_fragment_3	VOG23089	REFSEQ hypothetical protein
MP_BCQMy206___contig_1_fragment_3_316	MP_BCQMy206___contig_1_fragment_3	VOG23090	REFSEQ head-tail adaptor
MP_BCQMy206___contig_1_fragment_3_317	MP_BCQMy206___contig_1_fragment_3	VOG23091	REFSEQ hypothetical protein
MP_BCQMy206___contig_1_fragment_3_318	MP_BCQMy206___contig_1_fragment_3	VOG00973	REFSEQ hypothetical protein
MP_BCQMy206___contig_1_fragment_3_319	MP_BCQMy206___contig_1_fragment_3	VOG01397	REFSEQ major tail protein
MP_BCQMy206___contig_1_fragment_3_320	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_321	MP_BCQMy206___contig_1_fragment_3	VOG02333	REFSEQ tail tape measure protein
MP_BCQMy206___contig_1_fragment_3_322	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_323	MP_BCQMy206___contig_1_fragment_3	VOG00824	REFSEQ putative antireceptor
MP_BCQMy206___contig_1_fragment_3_324	MP_BCQMy206___contig_1_fragment_3	VOG13479	REFSEQ gp067
MP_BCQMy206___contig_1_fragment_3_325	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_326	MP_BCQMy206___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_3_327	MP_BCQMy206___contig_1_fragment_3	PF10779.9	Haemolysin XhlA
MP_BCQMy206___contig_1_fragment_3_328	MP_BCQMy206___contig_1_fragment_3	PF16938.5	Putative phage holin Dp-1
MP_BCQMy206___contig_1_fragment_3_329	MP_BCQMy206___contig_1_fragment_3	PF05382.13	Bacteriophage peptidoglycan hydrolase
MP_BCQMy206___contig_1_fragment_5_447	MP_BCQMy206___contig_1_fragment_5	K06977	K06977; uncharacterized protein
MP_BCQMy206___contig_1_fragment_5_448	MP_BCQMy206___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_5_449	MP_BCQMy206___contig_1_fragment_5	PF08282.12	haloacid dehalogenase-like hydrolase
MP_BCQMy206___contig_1_fragment_5_450	MP_BCQMy206___contig_1_fragment_5	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
MP_BCQMy206___contig_1_fragment_5_451	MP_BCQMy206___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy206___contig_1_fragment_5_452	MP_BCQMy206___contig_1_fragment_5	PF07553.11	Host cell surface-exposed lipoprotein
MP_BCQMy206___contig_1_fragment_5_453	MP_BCQMy206___contig_1_fragment_5	VOG20253	REFSEQ hypothetical protein
MP_BCQMy206___contig_1_fragment_5_454	MP_BCQMy206___contig_1_fragment_5	None	hypothetical protein
