protein	scaffold	KO	AMG	KO name	KO evalue	KO score	KO v-score	Pfam	Pfam name	Pfam evalue	Pfam score	Pfam v-score	VOG	VOG name	VOG evalue	VOG score	VOG v-score
GCA_025728595___contig_11_2	GCA_025728595___contig_11																
GCA_025728595___contig_11_3	GCA_025728595___contig_11																
GCA_025728595___contig_11_4	GCA_025728595___contig_11																
GCA_025728595___contig_11_5	GCA_025728595___contig_11																
GCA_025728595___contig_11_6	GCA_025728595___contig_11																
GCA_025728595___contig_11_7	GCA_025728595___contig_11												VOG01036	sp|C0SP91|YYCJ_BACSU Putative metallo-hydrolase YycJ	1.6e-33	112.2	3.45
GCA_025728595___contig_11_8	GCA_025728595___contig_11							PF07083.11	Protein of unknown function (DUF1351)	2.2e-29	98.6	0.84	VOG12256	REFSEQ hypothetical protein	9.999999999999999e-33	109.3	2.63
GCA_025728595___contig_11_9	GCA_025728595___contig_11												VOG24297	REFSEQ gp30	1.8e-38	128.2	0.05
GCA_025728595___contig_11_10	GCA_025728595___contig_11	K02319		"pol; DNA polymerase, archaea type [EC:2.7.7.7]"	2.7e-17	61.1	2.28						VOG00674	REFSEQ putative DNA polymerase	4.799999999999999e-106	351.3	3.61
GCA_025728595___contig_11_11	GCA_025728595___contig_11																
GCA_025728595___contig_11_12	GCA_025728595___contig_11	K06919		K06919; putative DNA primase/helicase	2.4e-25	87.0	2.86						VOG24298	REFSEQ gp32	2.6999999999999995e-161	533.9	0.05
GCA_025728595___contig_11_13	GCA_025728595___contig_11												VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA	3.9e-21	71.6	9.06
GCA_025728595___contig_11_14	GCA_025728595___contig_11																
GCA_025728595___contig_11_15	GCA_025728595___contig_11	K07474		xtmA; phage terminase small subunit	2.5e-19	69.2	2.24	PF03592.16	Terminase small subunit	5.4e-19	64.9	2.02	VOG02869	sp|P68928|TERS_BPSF6 Terminase small subunit	4.8999999999999996e-20	68.7	6.92
GCA_025728595___contig_11_16	GCA_025728595___contig_11	K06909		xtmB; phage terminase large subunit	7.699999999999999e-113	376.6	4.5	PF04466.13	Phage terminase large subunit	1.5999999999999996e-66	219.5	2.4	VOG00381	"sp|P54308|TERL_BPSPP Terminase, large subunit gp2"	8.099999999999998e-80	264.3	8.34
GCA_025728595___contig_11_17	GCA_025728595___contig_11							PF05133.14	"Phage portal protein, SPP1 Gp6-like"	1.7e-94	313.1	4.16	VOG00213	sp|Q05220|PORTL_BPML5 Portal protein	8.799999999999999e-76	251.2	10.0
GCA_025728595___contig_11_18	GCA_025728595___contig_11							PF04233.14	Phage Mu protein F like protein	3.4999999999999996e-17	59.0	2.29	VOG00686	sp|Q38442|GP7_BPSPP Minor head protein GP7	1.4999999999999997e-56	188.4	9.5
GCA_025728595___contig_11_19	GCA_025728595___contig_11							PF14265.6	Domain of unknown function (DUF4355)	5.700000000000001e-23	77.4	0.92	VOG02615	sp|O64209|SCAF_BPMD2 Probable capsid assembly scaffolding protein	4.2e-16	56.1	10.0
GCA_025728595___contig_11_20	GCA_025728595___contig_11							PF05065.13	Phage capsid family	3.9e-35	117.3	5.12	VOG00633	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17	8.199999999999998e-46	152.9	10.0
GCA_025728595___contig_11_21	GCA_025728595___contig_11	K20846		cgkA; kappa-carrageenase [EC:3.2.1.83]	1.2e-21	75.3	0.62	PF02368.18	Bacterial Ig-like domain (group 2)	1.1999999999999999e-32	107.6	1.22	VOG00186	sp|Q6QGE2|TUBE_BPT5 Tail tube protein	3e-30	101.3	3.82
GCA_025728595___contig_11_22	GCA_025728595___contig_11												VOG00283	sp|Q38584|HCP15_BPSPP Head completion protein gp15	1.7e-24	81.8	5.48
GCA_025728595___contig_11_23	GCA_025728595___contig_11												VOG01134	REFSEQ hypothetical protein	9.3e-34	111.6	2.59
GCA_025728595___contig_11_24	GCA_025728595___contig_11												VOG00973	REFSEQ hypothetical protein	9.500000000000001e-22	73.6	10.0
GCA_025728595___contig_11_25	GCA_025728595___contig_11												VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17	2.5e-26	88.1	4.73
GCA_025728595___contig_11_26	GCA_025728595___contig_11							PF06199.11	Phage tail tube protein	2.2000000000000002e-20	69.0	1.0	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein	1.2999999999999998e-43	144.6	5.26
GCA_025728595___contig_11_27	GCA_025728595___contig_11							PF12363.8	"Phage tail assembly chaperone protein, TAC"	1.1e-36	121.5	1.0	VOG01394	REFSEQ hypothetical protein	2.3999999999999997e-23	78.5	2.22
GCA_025728595___contig_11_28	GCA_025728595___contig_11												VOG01394	REFSEQ hypothetical protein	2.3e-33	111.3	2.22
GCA_025728595___contig_11_29	GCA_025728595___contig_11												VOG02632	REFSEQ gp14	1.2e-31	105.5	8.4
GCA_025728595___contig_11_30	GCA_025728595___contig_11							PF05709.11	Phage tail protein	1.6000000000000002e-19	66.2	3.63	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein	9.3e-34	113.0	5.58
GCA_025728675___contig_22_fragment_4_222	GCA_025728675___contig_22_fragment_4	K02013		ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]	2.5999999999999997e-104	348.6	0.03	PF00005.27	ABC transporter	1.3e-32	109.0	0.13	VOG00385	sp|P03271|PKG1_ADE05 Packaging protein 1	1.6999999999999998e-38	128.1	0.77
GCA_025728675___contig_22_fragment_4_223	GCA_025728675___contig_22_fragment_4	K09022		"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"	2.3999999999999997e-51	174.1	0.02	PF01042.21	Endoribonuclease L-PSP	4.2e-39	129.2	0.02					
GCA_025728675___contig_22_fragment_4_224	GCA_025728675___contig_22_fragment_4																
GCA_025728675___contig_22_fragment_4_225	GCA_025728675___contig_22_fragment_4	K01356		lexA; repressor LexA [EC:3.4.21.88]	1.0000000000000001e-24	86.3	2.88	PF00717.23	Peptidase S24-like	2.5000000000000003e-12	42.5	1.35	VOG00459	REFSEQ putative CI-like transcriptional repressor	3.9e-28	94.3	0.49
GCA_025728675___contig_22_fragment_4_226	GCA_025728675___contig_22_fragment_4																
GCA_025728675___contig_22_fragment_4_227	GCA_025728675___contig_22_fragment_4																
GCA_025728675___contig_22_fragment_4_228	GCA_025728675___contig_22_fragment_4																
GCA_025728675___contig_22_fragment_4_229	GCA_025728675___contig_22_fragment_4												VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA	4.8999999999999996e-20	68.0	9.06
GCA_025728675___contig_22_fragment_4_230	GCA_025728675___contig_22_fragment_4	K22994	AMG	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	2.3999999999999988e-209	696.9	0	PF13229.6	Right handed beta helix region	1.4e-15	53.4	0.47					
GCA_025728675___contig_22_fragment_4_231	GCA_025728675___contig_22_fragment_4																
GCA_025728675___contig_22_fragment_4_232	GCA_025728675___contig_22_fragment_4																
GCA_025728675___contig_22_fragment_4_233	GCA_025728675___contig_22_fragment_4																
GCA_025728675___contig_22_fragment_4_234	GCA_025728675___contig_22_fragment_4												VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17	6.2e-18	61.0	4.73
GCA_025728675___contig_22_fragment_4_235	GCA_025728675___contig_22_fragment_4							PF06199.11	Phage tail tube protein	1.1000000000000001e-20	70.0	1.0	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein	8.099999999999999e-41	135.5	5.26
GCA_025728675___contig_22_fragment_4_236	GCA_025728675___contig_22_fragment_4							PF12363.8	"Phage tail assembly chaperone protein, TAC"	8.6e-39	128.3	1.0	VOG00446	REFSEQ hypothetical protein	3.8e-23	78.1	3.96
GCA_025728675___contig_22_fragment_4_237	GCA_025728675___contig_22_fragment_4												VOG01394	REFSEQ hypothetical protein	1.6e-35	118.3	2.22
GCA_025728675___contig_22_fragment_4_238	GCA_025728675___contig_22_fragment_4												VOG02632	REFSEQ gp14	7.900000000000001e-29	96.2	8.4
GCA_025728675___contig_22_fragment_4_239	GCA_025728675___contig_22_fragment_4							PF05709.11	Phage tail protein	1.2999999999999998e-19	66.5	3.63	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein	4.899999999999999e-35	117.2	5.58
GCA_025728675___contig_22_fragment_4_240	GCA_025728675___contig_22_fragment_4							PF18013.1	Phage tail lysozyme	5.1e-33	110.0	1.0	VOG00824	REFSEQ putative antireceptor	1.4999999999999995e-121	403.0	1.44
GCA_025728675___contig_22_fragment_4_241	GCA_025728675___contig_22_fragment_4							PF10651.9	BppU N-terminal domain	7.2e-38	125.5	1.48	VOG13479	REFSEQ gp067	7.6e-54	178.6	0.52
GCA_025728615___contig_1_fragment_4_286	GCA_025728615___contig_1_fragment_4	K00059	AMG	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	1.5999999999999997e-72	243.2	0.07	PF13561.6	Enoyl-(Acyl carrier protein) reductase	1.9e-61	203.5	0.07	VOG05855	sp|Q5UQM3|YR419_MIMIV Uncharacterized short-chain type dehydrogenase/reductase R419	1.4999999999999997e-40	134.9	0.11
GCA_025728615___contig_1_fragment_4_287	GCA_025728615___contig_1_fragment_4							PF11195.8	Protein of unknown function (DUF2829)	7.000000000000001e-26	86.2	0.65	VOG00178	REFSEQ hypothetical protein	3.4999999999999997e-13	45.3	3.23
GCA_025728615___contig_1_fragment_4_288	GCA_025728615___contig_1_fragment_4							PF01205.19	Uncharacterized protein family UPF0029	3.5000000000000003e-34	113.2	0.01					
GCA_025728615___contig_1_fragment_4_289	GCA_025728615___contig_1_fragment_4	K02240		comFA; competence protein ComFA	8.099999999999999e-20	69.7	0.01										
GCA_025728615___contig_1_fragment_4_290	GCA_025728615___contig_1_fragment_4	K06400		spoIVCA; site-specific DNA recombinase	5.299999999999999e-119	397.5	2.76	PF00239.21	"Resolvase, N terminal domain"	1.6e-43	144.2	3.05	VOG00520	sp|P03015|GIN_BPMU Serine recombinase gin	2.0999999999999995e-108	358.9	10.0
GCA_025728615___contig_1_fragment_4_291	GCA_025728615___contig_1_fragment_4												VOG01190	REFSEQ hypothetical protein	1.6e-34	115.3	0.76
GCA_025728615___contig_1_fragment_4_292	GCA_025728615___contig_1_fragment_4																
GCA_025728615___contig_1_fragment_4_293	GCA_025728615___contig_1_fragment_4	K01356		lexA; repressor LexA [EC:3.4.21.88]	3.6999999999999995e-21	74.7	2.88	PF00717.23	Peptidase S24-like	3.7e-13	45.1	1.35	VOG20253	REFSEQ hypothetical protein	8e-55	181.3	0.66
GCA_025728615___contig_1_fragment_4_294	GCA_025728615___contig_1_fragment_4																
GCA_025728615___contig_1_fragment_4_295	GCA_025728615___contig_1_fragment_4							PF02498.17	"BRO family, N-terminal domain"	3.2e-22	75.0	1.68	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD	1.3000000000000001e-20	70.3	7.43
MP_QEQMy132961___contig_1_fragment_7_566	MP_QEQMy132961___contig_1_fragment_7	K02013		ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]	3.5999999999999993e-103	344.9	0.03	PF00005.27	ABC transporter	1.8e-32	108.6	0.13	VOG00385	sp|P03271|PKG1_ADE05 Packaging protein 1	3.3e-38	127.1	0.77
MP_QEQMy132961___contig_1_fragment_7_567	MP_QEQMy132961___contig_1_fragment_7	K09022		"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"	9.900000000000001e-51	172.1	0.02	PF01042.21	Endoribonuclease L-PSP	7.2e-39	128.4	0.02					
MP_QEQMy132961___contig_1_fragment_7_568	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_569	MP_QEQMy132961___contig_1_fragment_7	K01356		lexA; repressor LexA [EC:3.4.21.88]	1.0000000000000001e-24	86.3	2.88	PF00717.23	Peptidase S24-like	2.5000000000000003e-12	42.5	1.35	VOG00459	REFSEQ putative CI-like transcriptional repressor	3.9e-28	94.3	0.49
MP_QEQMy132961___contig_1_fragment_7_570	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_571	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_572	MP_QEQMy132961___contig_1_fragment_7												VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA	3.7e-12	42.4	9.06
MP_QEQMy132961___contig_1_fragment_7_573	MP_QEQMy132961___contig_1_fragment_7	K22994	AMG	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	3.0999999999999995e-87	292.7	0										
MP_QEQMy132961___contig_1_fragment_7_574	MP_QEQMy132961___contig_1_fragment_7	K22994	AMG	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	9.799999999999997e-105	350.6	0	PF13229.6	Right handed beta helix region	4.3000000000000004e-13	45.3	0.47					
MP_QEQMy132961___contig_1_fragment_7_575	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_576	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_577	MP_QEQMy132961___contig_1_fragment_7												VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17	2.8e-19	65.3	4.73
MP_QEQMy132961___contig_1_fragment_7_578	MP_QEQMy132961___contig_1_fragment_7							PF06199.11	Phage tail tube protein	2.3e-20	69.0	1.0	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein	1.3e-39	131.6	5.26
MP_QEQMy132961___contig_1_fragment_7_579	MP_QEQMy132961___contig_1_fragment_7							PF12363.8	"Phage tail assembly chaperone protein, TAC"	8.6e-39	128.3	1.0	VOG00446	REFSEQ hypothetical protein	3.8e-23	78.1	3.96
MP_QEQMy132961___contig_1_fragment_7_580	MP_QEQMy132961___contig_1_fragment_7												VOG01394	REFSEQ hypothetical protein	1.6e-35	118.3	2.22
MP_QEQMy132961___contig_1_fragment_7_581	MP_QEQMy132961___contig_1_fragment_7												VOG02632	REFSEQ gp14	2.5e-27	91.2	8.4
MP_QEQMy132961___contig_1_fragment_7_582	MP_QEQMy132961___contig_1_fragment_7							PF05709.11	Phage tail protein	2.4e-20	68.9	3.63	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein	2.8e-35	118.0	5.58
MP_QEQMy132961___contig_1_fragment_7_583	MP_QEQMy132961___contig_1_fragment_7							PF18013.1	Phage tail lysozyme	3.8e-19	65.0	1.0	VOG00824	REFSEQ putative antireceptor	9.199999999999998e-113	374.0	1.44
MP_QEQMy132961___contig_1_fragment_7_584	MP_QEQMy132961___contig_1_fragment_7												VOG21997	REFSEQ hypothetical protein	1.0000000000000001e-11	40.3	0.18
MP_QEQMy132961___contig_1_fragment_7_585	MP_QEQMy132961___contig_1_fragment_7							PF10651.9	BppU N-terminal domain	7.2e-37	122.2	1.48	VOG13479	REFSEQ gp067	1.3e-53	177.8	0.52
MP_QEQMy132961___contig_1_fragment_7_586	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_587	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_588	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_589	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_590	MP_QEQMy132961___contig_1_fragment_7																
MP_QEQMy132961___contig_1_fragment_7_591	MP_QEQMy132961___contig_1_fragment_7							PF16938.5	Putative phage holin Dp-1	1.7999999999999998e-31	104.1	1.0	VOG01434	sp|O03978|HOLIN_BPDP1 Holin	6.2e-20	67.5	1.0
MP_QEQMy132961___contig_1_fragment_7_592	MP_QEQMy132961___contig_1_fragment_7							PF05382.13	Bacteriophage peptidoglycan hydrolase	9.099999999999999e-63	206.3	1.0	VOG02574	sp|O03979|ALYS_BPDP1 Lysin	2.9999999999999994e-56	186.8	3.48
MP_QEQMy132961___contig_1_fragment_10_888	MP_QEQMy132961___contig_1_fragment_10	K02003		ABC.CD.A; putative ABC transport system ATP-binding protein	7.799999999999998e-76	254.7	0.01	PF00005.27	ABC transporter	3.2e-33	111.0	0.13	VOG00385	sp|P03271|PKG1_ADE05 Packaging protein 1	1.9e-36	121.2	0.77
MP_QEQMy132961___contig_1_fragment_10_889	MP_QEQMy132961___contig_1_fragment_10	K14059		int; integrase	1.3e-57	194.7	7.0	PF00589.22	Phage integrase family	7e-32	106.4	9.33	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1	7.499999999999999e-71	235.0	10.0
MP_QEQMy132961___contig_1_fragment_10_890	MP_QEQMy132961___contig_1_fragment_10	K22300		"dicA; HTH-type transcriptional regulator, cell division transcriptional repressor"	1.2e-16	59.8	2.08	PF01381.22	Helix-turn-helix	1.1e-11	40.5	5.99	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI	2.1e-12	43.5	10.0
MP_QEQMy132961___contig_1_fragment_10_891	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_892	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_893	MP_QEQMy132961___contig_1_fragment_10							PF09669.10	Phage regulatory protein Rha (Phage_pRha)	4.9000000000000004e-29	96.6	1.83	VOG04616	sp|P21417|Y23K_BPP22 Uncharacterized 22.8 kDa protein in gp15-gp3 intergenic region	1e-27	93.1	0.49
MP_QEQMy132961___contig_1_fragment_10_894	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_895	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_896	MP_QEQMy132961___contig_1_fragment_10	K01356		lexA; repressor LexA [EC:3.4.21.88]	1.1999999999999998e-23	82.8	2.88	PF00717.23	Peptidase S24-like	1.4e-13	46.5	1.35	VOG20253	REFSEQ hypothetical protein	4.9000000000000004e-29	96.8	0.66
MP_QEQMy132961___contig_1_fragment_10_897	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_898	MP_QEQMy132961___contig_1_fragment_10	K07741		antB; anti-repressor protein	4.1e-21	75.0	2.25	PF02498.17	"BRO family, N-terminal domain"	2.1e-31	104.4	1.68	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD	2.5e-41	137.8	7.43
MP_QEQMy132961___contig_1_fragment_10_899	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_900	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_901	MP_QEQMy132961___contig_1_fragment_10												VOG14084	REFSEQ hypothetical protein	1.7e-27	91.5	0.48
MP_QEQMy132961___contig_1_fragment_10_902	MP_QEQMy132961___contig_1_fragment_10	K07741		antB; anti-repressor protein	2.4999999999999998e-23	82.3	2.25	PF08346.12	AntA/AntB antirepressor	8.100000000000001e-14	47.9	0.31					
MP_QEQMy132961___contig_1_fragment_10_903	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_904	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_905	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_906	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_907	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_908	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_909	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_910	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_911	MP_QEQMy132961___contig_1_fragment_10							PF05565.11	Siphovirus Gp157	2.5e-46	153.5	1.0	VOG11084	REFSEQ hypothetical protein	2.5999999999999997e-47	156.4	3.79
MP_QEQMy132961___contig_1_fragment_10_912	MP_QEQMy132961___contig_1_fragment_10							PF04404.12	ERF superfamily	1.3e-32	108.7	2.54	VOG09746	sp|P04892|ERF_BPP22 Essential recombination function protein	2.4e-31	104.8	8.58
MP_QEQMy132961___contig_1_fragment_10_913	MP_QEQMy132961___contig_1_fragment_10							PF16784.5	Putative HNHc nuclease	1.1e-37	125.4	0.55	VOG00232	sp|P76162|YDFU_ECOLI Uncharacterized protein YdfU	2.4e-31	104.4	2.92
MP_QEQMy132961___contig_1_fragment_10_914	MP_QEQMy132961___contig_1_fragment_10							PF09681.10	N-terminal phage replisome organiser (Phage_rep_org_N)	2.5e-24	81.4	1.0	VOG21431	REFSEQ hypothetical protein	2.9999999999999996e-34	114.1	2.25
MP_QEQMy132961___contig_1_fragment_10_915	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_916	MP_QEQMy132961___contig_1_fragment_10	K03111		ssb; single-strand DNA-binding protein	1.1e-43	149.2	4.34	PF00436.25	Single-strand binding protein family	6.2e-36	118.5	4.28	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein	5.6e-50	165.2	10.0
MP_QEQMy132961___contig_1_fragment_10_917	MP_QEQMy132961___contig_1_fragment_10	K01160		rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.22.4]	1.1e-12	47.3	1.93	PF05866.11	Endodeoxyribonuclease RusA	1.2999999999999998e-35	118.6	2.13	VOG00098	sp|Q9MCN8|RUSA_BPHK7 Crossover junction endodeoxyribonuclease rusA	6.6e-24	80.8	10.0
MP_QEQMy132961___contig_1_fragment_10_918	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_919	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_920	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_921	MP_QEQMy132961___contig_1_fragment_10												VOG00065	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region	1.9999999999999997e-31	104.3	7.1
MP_QEQMy132961___contig_1_fragment_10_922	MP_QEQMy132961___contig_1_fragment_10												VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA	6.099999999999999e-23	77.4	9.06
MP_QEQMy132961___contig_1_fragment_10_923	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_924	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_925	MP_QEQMy132961___contig_1_fragment_10																
MP_QEQMy132961___contig_1_fragment_10_926	MP_QEQMy132961___contig_1_fragment_10	K07451		mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	2.6000000000000002e-12	45.6	0.95						VOG00962	REFSEQ hypothetical protein	1.1e-21	73.2	1.79
MP_QEQMy132961___contig_1_fragment_10_927	MP_QEQMy132961___contig_1_fragment_10							PF05119.12	"Phage terminase, small subunit"	8.000000000000001e-20	67.0	1.58	VOG00687	REFSEQ terminase small subunit	1.2e-26	89.2	8.56
MP_QEQMy132961___contig_1_fragment_10_928	MP_QEQMy132961___contig_1_fragment_10												VOG04497	REFSEQ putative terminase small subunit	1.1999999999999998e-33	112.4	1.93
MP_QEQMy132961___contig_1_fragment_10_929	MP_QEQMy132961___contig_1_fragment_10							PF03354.15	Phage Terminase	1.9e-38	128.0	2.87	VOG09810	"sp|P17312|TERL_BPT4 Terminase, large subunit"	4.6999999999999995e-21	71.7	10.0
MP_QEQMy132961___contig_1_fragment_10_930	MP_QEQMy132961___contig_1_fragment_10							PF04860.12	Phage portal protein	4.9e-46	153.2	4.78	VOG00236	sp|Q4Z9G3|PORTL_BPTWO Probable portal protein	1.4999999999999998e-34	115.8	10.0
MP_QEQMy132961___contig_1_fragment_10_931	MP_QEQMy132961___contig_1_fragment_10	K06904		K06904; uncharacterized protein	1.0999999999999999e-47	161.9	2.41	PF04586.17	Caudovirus prohead serine protease	3.7e-48	159.6	1.83	VOG03165	sp|Q6QGD7|PRO_BPT5 Prohead protease	9.3e-37	122.7	10.0
MP_QEQMy132961___contig_1_fragment_10_932	MP_QEQMy132961___contig_1_fragment_10							PF05065.13	Phage capsid family	2.2e-24	82.1	5.12	VOG13487	REFSEQ major capsid L	1.2999999999999998e-89	297.1	1.98
