genome_id,Annotated,Proteins,Reference,Size (Kb),component (0.3),component size (0.3),Realm Reference (0.3),Realm Predictions (0.3),network (0.3),component (0.4),component size (0.4),Realm Reference (0.4),Realm Predictions (0.4),network (0.4),component (0.5),component size (0.5),Realm Reference (0.5),Realm Predictions (0.5),network (0.5),component (0.6),component size (0.6),Realm Reference (0.6),Realm Predictions (0.6),network (0.6),component (0.7),component size (0.7),Realm Reference (0.7),Realm Predictions (0.7),network (0.7),realm (prediction),realm (support),order (component),family (component),genus (component),subfamily (component)
HQ632855.1,,82,True,60.467,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,11,5.0,Duplodnaviria,Duplodnaviria,,14,5.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,65.0,315.0,1,144
JF906059.1,,55,True,28.579,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,8,151.0,Duplodnaviria,Duplodnaviria,,12,151.0,Duplodnaviria,Duplodnaviria,,15,118.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,67.0,335.0,7,1
JF917095.1,,28,True,21.592,6,1.0,,No prediction,,7,1.0,,No prediction,edgeless,9,1.0,,No prediction,edgeless,13,1.0,,No prediction,edgeless,16,1.0,,No prediction,edgeless,No Realm,None,0,0,0,0
JF974299.2,,204,True,171.405,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,1,77.0,Duplodnaviria,Duplodnaviria,,1,76.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,42.0,215.0,29,63
JF974300.1,,51,True,43.241,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,14,21.0,Duplodnaviria,Duplodnaviria,,17,4.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,67.0,334.0,1,60
JN600960.1,,27,True,39.646,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,8,136.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,306.0,52,47
JX163858.1,,342,True,205.504,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,10,11.0,Duplodnaviria,Duplodnaviria,,15,10.0,Duplodnaviria,Duplodnaviria,,18,10.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,46.0,240.0,7,2
KC542353.1,,62,True,39.94,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,16,1.0,Duplodnaviria,Duplodnaviria,,19,1.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,60.0,275.0,0,7
KC595511.2,,138,True,82.008,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,3,298.0,Duplodnaviria,Duplodnaviria,,20,5.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,33.0,181.0,1,12
KC900378.1,,66,True,64.746,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,21,86.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,298.0,8,37
KF302032.1,,73,True,37.73,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,17,8.0,Duplodnaviria,Duplodnaviria,,22,7.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,60.0,276.0,4,8
KF302033.1,,75,True,37.211,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,17,8.0,Duplodnaviria,Duplodnaviria,,22,7.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,60.0,276.0,4,8
KF302035.1,,62,True,35.33,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,11,1.0,Duplodnaviria,Duplodnaviria,,18,1.0,Duplodnaviria,Duplodnaviria,edgeless,23,1.0,Duplodnaviria,Duplodnaviria,edgeless,Duplodnaviria,reference,65.0,319.0,0,0
KP972568.1,,14,True,6.722,7,2.0,Monodnaviria,Monodnaviria,,8,2.0,Monodnaviria,Monodnaviria,,12,2.0,Monodnaviria,Monodnaviria,,19,2.0,Monodnaviria,Monodnaviria,,24,2.0,Monodnaviria,Monodnaviria,,Monodnaviria,reference,1,1,1,1
KR063281.1,,126,True,103.424,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,20,787.0,Duplodnaviria,Duplodnaviria,,25,5.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,7.0,47.0,4,11
KR537872.1,,57,True,42.887,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,26,20.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,66.0,326.0,1,126
KT070866.1,,123,True,80.647,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,3,298.0,Duplodnaviria,Duplodnaviria,,20,5.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,33.0,181.0,1,12
KT070867.1,,251,True,168.689,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,3,298.0,Duplodnaviria,Duplodnaviria,,27,13.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,33.0,182.0,1,7
KT717083.1,,46,True,36.733,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KT717084.1,,41,True,34.239,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KT717085.1,,40,True,34.593,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KU204984.2,,76,True,57.599,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,28,41.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,66.0,328.0,5,129
KU252585.1,,80,True,53.182,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,20,787.0,Duplodnaviria,Duplodnaviria,,29,742.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,9.0,59.0,20,72
KU594607.1,,235,True,192.999,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,1,77.0,Duplodnaviria,Duplodnaviria,,1,76.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,42.0,215.0,16,63
KU708004.1,,95,True,55.06,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,21,86.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,294.0,21,35
KU747973.1,,73,True,45.306,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,17,8.0,Duplodnaviria,Duplodnaviria,,22,7.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,60.0,275.0,1,6
KU958700.1,,55,True,34.742,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,14,17.0,Duplodnaviria,Duplodnaviria,,21,1.0,Duplodnaviria,Duplodnaviria,,30,1.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,14.0,83.0,0,3
KX074201.1|NC_042071.1|KX074202.1|NC_042072.1|KX074203.1|NC_042073.1,,18,True,13.514,8,6.0,Riboviria,Riboviria,,9,3.0,Riboviria,Riboviria,,15,3.0,Riboviria,Riboviria,,22,3.0,Riboviria,Riboviria,,31,1.0,Riboviria,Riboviria,,Riboviria,reference,Not implemented,Not implemented,Not implemented,Not implemented
KX171209.1,,92,True,72.728,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,32,15.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,1,87
KX452698.1,,278,True,193.624,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,33,261.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,42.0,211.0,30,112
KX550065.1,,53,True,37.631,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,31,73
KX557288.1,,95,True,69.165,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,24,21.0,Duplodnaviria,Duplodnaviria,,34,1.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,3.0,3.0,0,50
KX649889.1,,63,True,42.147,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,35,100.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,15
KX669658.1,,58,True,41.655,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,16,1.0,Duplodnaviria,Duplodnaviria,,25,1.0,Duplodnaviria,Duplodnaviria,,36,1.0,Duplodnaviria,Duplodnaviria,edgeless,Duplodnaviria,reference,65.0,318.0,0,0
KX879641.1,,50,True,35.129,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,2,76
KX879642.1,,44,True,30.077,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,2,76
KX879643.1,,46,True,33.507,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,6,76
KX898400.1,,74,True,57.839,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,28,41.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,66.0,326.0,13,132
KY065455.1,,49,True,37.252,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,31,73
KY065479.1,,50,True,37.761,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,31,73
KY065487.1,,52,True,37.848,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,31,73
KY065490.1,,52,True,36.805,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,31,73
KY065492.1,,55,True,38.9,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,31,73
KY065493.1,,48,True,37.847,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,31,73
KY065501.1,,50,True,39.046,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,31,73
KY065502.1,,53,True,37.969,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,31,73
KY130461.1,,92,True,60.973,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,20,787.0,Duplodnaviria,Duplodnaviria,,29,742.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,10.0,60.0,113,26
KY176369.1,,70,True,43.428,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,35,100.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,15
KY379853.1,,59,True,41.854,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,35,100.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,15
KY417925.1,,78,True,59.782,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,26,3.0,Duplodnaviria,Duplodnaviria,,37,1.0,Duplodnaviria,Duplodnaviria,edgeless,Duplodnaviria,reference,53.0,254.0,0,121
KY705251.1,,44,True,35.653,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705252.1,,50,True,34.58,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,6,76
KY705253.1,,51,True,34.932,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,6,76
KY705255.1,,54,True,35.966,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,6,76
KY705256.1,,45,True,36.168,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705257.1,,44,True,35.444,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705258.1,,55,True,38.139,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,7,76
KY705259.1,,52,True,37.235,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705260.1,,43,True,34.292,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705262.1,,44,True,35.843,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705263.1,,42,True,33.284,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705264.1,,45,True,34.019,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705265.1,,47,True,35.025,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705266.1,,46,True,35.663,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705267.1,,42,True,34.507,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705268.1,,49,True,34.907,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,7,76
KY705270.1,,48,True,37.715,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705271.1,,49,True,36.298,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705272.1,,51,True,35.395,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
KY705273.1,,51,True,37.202,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,9,76
